task,iter,attack_acc,cv_acc,auc
1,1,0.582,0.1608,0.6384
1,2,0.6992,0.2627,0.7312
1,3,0.7148,0.302,0.758
1,4,0.7148,0.2549,0.7635
1,5,0.6836,0.298,0.7226
1,6,0.6875,0.2549,0.7597
1,7,0.6992,0.6588,0.8
1,8,0.6719,0.2784,0.7539
1,9,0.6406,0.6902,0.719
1,10,0.7422,0.2706,0.7817
1,1,0.6172,0.2078,0.6666
1,2,0.7148,0.2902,0.7649
1,3,0.7695,0.7608,0.8412
1,4,0.7461,0.7608,0.8853
1,5,0.7656,0.3098,0.8832
1,6,0.75,0.7255,0.8597
1,7,0.7461,0.2941,0.8541
1,8,0.7305,0.2824,0.8202
1,9,0.7461,0.7333,0.8851
1,10,0.7227,0.302,0.8581
1,1,0.6602,0.2627,0.7123
1,2,0.7617,0.2824,0.882
1,3,0.7383,0.7255,0.8345
1,4,0.7578,0.7294,0.819
1,5,0.75,0.302,0.8327
1,6,0.7109,0.2824,0.8511
