task,iter,attack_acc,cv_acc,auc
1,11,0.546,0.102,0.5453
1,12,0.456,0.092,0.4444
1,13,0.478,0.092,0.4596
1,14,0.488,0.098,0.4849
1,15,0.514,0.102,0.5248
1,16,0.534,0.122,0.5284
1,17,0.484,0.12,0.4862
1,18,0.532,0.098,0.523
1,19,0.486,0.098,0.4766
1,20,0.498,0.104,0.4845
1,11,0.534,0.076,0.5243
1,12,0.5,0.108,0.5102
1,13,0.484,0.12,0.4802
1,14,0.52,0.096,0.517
1,15,0.522,0.088,0.5237
1,16,0.466,0.086,0.4895
1,17,0.488,0.094,0.5226
1,18,0.522,0.096,0.5307
1,19,0.522,0.098,0.5308
1,20,0.526,0.106,0.5484
