task,iter,attack_acc,cv_acc,auc
1,11,0.7695,0.7176,0.8296
1,12,0.793,0.6902,0.8206
1,13,0.7578,0.7294,0.8237
1,14,0.7656,0.7059,0.8157
1,15,0.793,0.7373,0.8373
1,16,0.8008,0.7922,0.8598
1,17,0.7812,0.749,0.8323
1,18,0.8594,0.7725,0.8651
1,19,0.7578,0.7765,0.8156
1,20,0.5078,0.2314,0.5524
1,11,0.7266,0.7922,0.8262
1,12,0.7539,0.7373,0.8209
1,13,0.7695,0.7373,0.8478
1,14,0.75,0.7569,0.8522
1,15,0.7578,0.749,0.832
1,16,0.7656,0.6902,0.863
1,17,0.7617,0.7333,0.8097
1,18,0.8242,0.7373,0.8846
1,19,0.8047,0.749,0.8916
1,20,0.5508,0.4314,0.6459
