task,iter,attack_acc,cv_acc,auc
2,11,0.536,0.126,0.5615
2,12,0.508,0.11,0.529
2,13,0.5,0.138,0.5033
2,14,0.512,0.102,0.5392
2,15,0.524,0.112,0.5723
2,16,0.528,0.118,0.566
2,17,0.558,0.104,0.5982
2,18,0.506,0.142,0.5202
2,19,0.484,0.102,0.4817
2,20,0.514,0.102,0.5195
2,11,0.536,0.118,0.5454
2,12,0.51,0.108,0.54
2,13,0.528,0.104,0.5282
2,14,0.518,0.1,0.517
2,15,0.496,0.094,0.5045
2,16,0.524,0.09,0.5395
2,17,0.522,0.122,0.5393
2,18,0.546,0.108,0.5695
2,19,0.456,0.09,0.4477
2,20,0.508,0.084,0.5138
