task,iter,attack_acc,cv_acc,auc
2,11,0.7383,0.2431,0.8607
2,12,0.6328,0.3882,0.671
2,13,0.6328,0.2196,0.6722
2,14,0.6133,0.2431,0.6431
2,15,0.6719,0.2745,0.7407
2,16,0.6445,0.2471,0.6638
2,17,0.6484,0.2039,0.711
2,18,0.5898,0.2353,0.6276
2,19,0.5039,0.0863,0.4977
2,20,0.5273,0.098,0.5491
2,11,0.6406,0.5569,0.6817
2,12,0.7656,0.6941,0.8013
2,13,0.4844,0.098,0.4722
2,14,0.5312,0.098,0.5262
2,15,0.5742,0.098,0.6003
2,16,0.625,0.1804,0.6656
2,17,0.582,0.1255,0.6201
2,18,0.5352,0.2078,0.5646
2,19,0.5547,0.1059,0.6282
2,20,0.5508,0.1686,0.5515
