task,iter,attack_acc,cv_acc,auc
2,11,0.542,0.118,0.5489
2,12,0.52,0.102,0.5468
2,13,0.558,0.118,0.5792
2,14,0.542,0.102,0.5557
2,15,0.522,0.116,0.543
2,16,0.538,0.154,0.5475
2,17,0.548,0.126,0.5383
2,18,0.512,0.114,0.5463
2,19,0.504,0.106,0.5223
2,20,0.48,0.088,0.4612
2,11,0.512,0.104,0.5563
2,12,0.536,0.096,0.5574
2,13,0.524,0.118,0.5446
2,14,0.518,0.104,0.5508
2,15,0.532,0.108,0.552
2,16,0.51,0.148,0.5353
2,17,0.552,0.116,0.5908
2,18,0.5,0.13,0.5155
2,19,0.51,0.1,0.5246
2,20,0.486,0.13,0.4805
