task,iter,attack_acc,cv_acc,auc
3,11,0.472,0.106,0.4904
3,12,0.532,0.094,0.555
3,13,0.514,0.106,0.5139
3,14,0.52,0.082,0.511
3,15,0.484,0.1,0.4731
3,16,0.49,0.108,0.5014
3,17,0.488,0.102,0.5156
3,18,0.456,0.11,0.4592
3,19,0.5,0.126,0.5178
3,20,0.524,0.11,0.5179
3,11,0.536,0.086,0.5392
3,12,0.492,0.104,0.5222
3,13,0.492,0.116,0.5326
3,14,0.534,0.096,0.5575
3,15,0.48,0.1,0.4594
3,16,0.476,0.098,0.4536
3,17,0.454,0.1,0.4511
3,18,0.454,0.098,0.4327
3,19,0.52,0.096,0.5331
3,20,0.534,0.1,0.5232
