task,iter,attack_acc,cv_acc,auc
4,11,0.75,0.75,0.8965
4,12,0.7188,0.7667,0.9795
4,13,0.7344,0.7833,0.8989
4,14,0.7344,0.7833,0.8633
4,15,0.7188,0.8667,0.9375
4,16,0.7656,0.8167,0.96
4,17,0.8281,0.8167,0.8726
4,18,0.7188,0.6333,0.7197
4,19,0.75,0.7667,0.873
4,20,0.75,0.65,0.7969
4,11,0.7031,0.5833,0.8545
4,12,0.7656,0.8167,0.8916
4,13,0.7344,0.75,0.8428
4,14,0.7344,0.7667,0.8369
4,15,0.7656,0.4,0.8408
4,16,0.7344,0.7667,0.8877
4,17,0.625,0.5833,0.6636
4,18,0.6406,0.6167,0.748
4,19,0.6562,0.6,0.751
4,20,0.7188,0.5333,0.8164
