task,iter,attack_acc,cv_acc,auc
4,11,0.576,0.104,0.5924
4,12,0.526,0.104,0.5312
4,13,0.542,0.112,0.5479
4,14,0.552,0.108,0.5745
4,15,0.532,0.1,0.5495
4,16,0.53,0.116,0.5389
4,17,0.476,0.108,0.5031
4,18,0.494,0.106,0.5086
4,19,0.486,0.086,0.4939
4,20,0.52,0.108,0.5016
4,11,0.556,0.126,0.5902
4,12,0.53,0.122,0.5534
4,13,0.556,0.154,0.5637
4,14,0.518,0.166,0.5335
4,15,0.566,0.098,0.606
4,16,0.54,0.164,0.5258
4,17,0.464,0.1,0.4528
4,18,0.498,0.098,0.4905
4,19,0.482,0.096,0.4805
4,20,0.512,0.114,0.517
