task,iter,attack_acc,cv_acc,auc
6,11,0.7344,0.7667,0.8945
6,12,0.7188,0.8,0.8623
6,13,0.7188,0.7,0.8223
6,14,0.7188,0.7333,0.8906
6,15,0.6875,0.5667,0.7422
6,16,0.7188,0.5,0.7876
6,17,0.7188,0.6167,0.7969
6,18,0.6562,0.5667,0.6934
6,19,0.6875,0.4833,0.6836
6,20,0.6719,0.5333,0.6724
6,11,0.7812,0.7,0.9668
6,12,0.7969,0.7333,0.9912
6,13,0.8125,0.75,0.9717
6,14,0.7656,0.7167,0.9292
6,15,0.7656,0.6833,0.9673
6,16,0.7188,0.7,0.9033
6,17,0.8125,0.45,0.8809
6,18,0.6719,0.6333,0.8311
6,19,0.7344,0.1667,0.8027
6,20,0.6562,0.2167,0.6938
