task,iter,attack_acc,cv_acc,auc
8,11,0.6641,0.2863,0.8098
8,12,0.7148,0.4431,0.7668
8,13,0.5664,0.1765,0.5732
8,14,0.4609,0.0902,0.4728
8,15,0.5938,0.0941,0.5779
8,16,0.5273,0.0902,0.5116
8,17,0.5312,0.1176,0.5181
8,18,0.5234,0.102,0.5048
8,19,0.5547,0.0863,0.5344
8,20,0.543,0.1137,0.5276
8,11,0.6914,0.2784,0.7142
8,12,0.6133,0.2275,0.6375
8,13,0.5156,0.1569,0.5699
8,14,0.5586,0.1529,0.5714
8,15,0.5195,0.1608,0.5404
8,16,0.5,0.1686,0.5398
8,17,0.3828,0.1059,0.3527
8,18,0.4922,0.1098,0.5186
8,19,0.4492,0.1451,0.4281
8,20,0.5039,0.1176,0.5007
