,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.58,0.692,0.478,0.72,0.686,0.45,0.666,0.692,0.616,0.71,0.606,0.654,0.576,0.696,0.602,0.648,0.7,0.732,0.73,0.91
1,0.51,0.53,0.42,0.59,0.566,0.396,0.624,0.592,0.436,0.576,0.53,0.61,0.462,0.586,0.52,0.56,0.508,0.63,0.644,0.344
2,0.532,0.548,0.41,0.654,0.608,0.372,0.584,0.546,0.466,0.584,0.534,0.52,0.552,0.614,0.5,0.492,0.598,0.606,0.28,0.43
3,0.538,0.606,0.408,0.634,0.6,0.376,0.506,0.556,0.476,0.572,0.558,0.498,0.506,0.508,0.524,0.484,0.488,0.286,0.332,0.574
4,0.514,0.576,0.41,0.596,0.592,0.396,0.526,0.54,0.46,0.588,0.522,0.498,0.452,0.5,0.54,0.5,0.236,0.304,0.318,0.508
5,0.434,0.536,0.362,0.44,0.62,0.346,0.566,0.576,0.474,0.512,0.518,0.556,0.462,0.558,0.488,0.244,0.264,0.254,0.328,0.426
6,0.484,0.512,0.388,0.54,0.604,0.38,0.498,0.554,0.45,0.476,0.52,0.5,0.446,0.492,0.254,0.36,0.278,0.304,0.326,0.466
7,0.464,0.5,0.394,0.546,0.574,0.38,0.488,0.586,0.406,0.546,0.452,0.51,0.502,0.184,0.316,0.322,0.224,0.308,0.328,0.432
8,0.512,0.54,0.4,0.584,0.466,0.352,0.482,0.546,0.446,0.54,0.498,0.516,0.176,0.26,0.324,0.386,0.186,0.262,0.308,0.354
9,0.462,0.574,0.398,0.55,0.574,0.338,0.546,0.558,0.418,0.554,0.45,0.27,0.288,0.278,0.262,0.37,0.208,0.29,0.27,0.31
10,0.432,0.46,0.372,0.466,0.544,0.322,0.584,0.54,0.372,0.53,0.214,0.242,0.316,0.25,0.176,0.258,0.218,0.266,0.218,0.27
11,0.474,0.54,0.374,0.592,0.48,0.332,0.516,0.538,0.458,0.298,0.186,0.15,0.22,0.264,0.184,0.348,0.144,0.246,0.258,0.32
12,0.408,0.464,0.446,0.564,0.532,0.352,0.56,0.622,0.244,0.306,0.234,0.256,0.304,0.224,0.264,0.346,0.214,0.262,0.276,0.19
13,0.508,0.502,0.328,0.622,0.442,0.284,0.462,0.192,0.322,0.316,0.172,0.146,0.22,0.14,0.234,0.324,0.112,0.238,0.214,0.292
14,0.484,0.572,0.418,0.586,0.504,0.298,0.262,0.186,0.298,0.28,0.25,0.182,0.204,0.088,0.26,0.322,0.06,0.232,0.196,0.232
15,0.454,0.57,0.414,0.614,0.496,0.208,0.28,0.162,0.32,0.292,0.236,0.174,0.202,0.22,0.296,0.306,0.1,0.234,0.206,0.238
16,0.506,0.476,0.434,0.612,0.242,0.206,0.25,0.25,0.348,0.246,0.23,0.208,0.182,0.23,0.21,0.222,0.15,0.25,0.222,0.266
17,0.432,0.514,0.39,0.226,0.254,0.208,0.212,0.18,0.284,0.214,0.158,0.218,0.258,0.164,0.176,0.196,0.186,0.246,0.206,0.212
18,0.488,0.544,0.19,0.2,0.212,0.162,0.16,0.224,0.394,0.176,0.118,0.234,0.214,0.184,0.172,0.226,0.222,0.264,0.218,0.322
19,0.38,0.26,0.19,0.154,0.192,0.162,0.17,0.166,0.318,0.148,0.122,0.152,0.146,0.218,0.116,0.21,0.168,0.152,0.228,0.31
