,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.674,0.638,0.642,0.728,0.54,0.698,0.55,0.614,0.58,0.602,0.72,0.712,0.786,0.746,0.774,0.59,0.818,0.6,0.738,0.772
1,0.658,0.656,0.636,0.718,0.562,0.694,0.538,0.652,0.622,0.6,0.7,0.704,0.804,0.666,0.758,0.61,0.832,0.626,0.798,0.186
2,0.646,0.616,0.612,0.684,0.516,0.682,0.524,0.618,0.556,0.642,0.702,0.71,0.75,0.732,0.75,0.6,0.81,0.658,0.208,0.23
3,0.68,0.636,0.662,0.712,0.562,0.71,0.562,0.638,0.61,0.654,0.756,0.728,0.786,0.786,0.8,0.698,0.884,0.188,0.222,0.204
4,0.66,0.626,0.666,0.736,0.536,0.688,0.58,0.644,0.598,0.652,0.754,0.72,0.738,0.738,0.788,0.748,0.252,0.17,0.212,0.184
5,0.682,0.622,0.666,0.75,0.588,0.71,0.588,0.664,0.596,0.656,0.708,0.742,0.782,0.756,0.87,0.204,0.146,0.188,0.19,0.166
6,0.692,0.592,0.662,0.724,0.556,0.72,0.592,0.664,0.56,0.628,0.716,0.794,0.808,0.834,0.224,0.22,0.18,0.182,0.192,0.168
7,0.662,0.656,0.612,0.762,0.61,0.696,0.564,0.654,0.578,0.662,0.766,0.734,0.886,0.182,0.252,0.2,0.138,0.196,0.226,0.172
8,0.64,0.64,0.622,0.724,0.548,0.742,0.568,0.676,0.604,0.69,0.728,0.826,0.134,0.182,0.266,0.21,0.244,0.172,0.234,0.16
9,0.628,0.586,0.612,0.698,0.504,0.7,0.55,0.62,0.55,0.65,0.806,0.14,0.146,0.176,0.238,0.204,0.18,0.178,0.254,0.206
10,0.588,0.61,0.62,0.728,0.538,0.7,0.578,0.648,0.612,0.67,0.102,0.144,0.122,0.202,0.224,0.176,0.178,0.192,0.196,0.17
11,0.538,0.57,0.612,0.656,0.544,0.644,0.572,0.694,0.598,0.212,0.112,0.104,0.1,0.244,0.19,0.198,0.122,0.18,0.24,0.17
12,0.578,0.624,0.632,0.704,0.566,0.72,0.598,0.67,0.168,0.238,0.148,0.104,0.236,0.122,0.198,0.202,0.142,0.204,0.26,0.224
13,0.566,0.508,0.598,0.602,0.554,0.614,0.534,0.236,0.194,0.224,0.112,0.198,0.184,0.166,0.228,0.202,0.144,0.208,0.248,0.184
14,0.566,0.61,0.512,0.57,0.522,0.684,0.17,0.208,0.178,0.21,0.22,0.158,0.286,0.138,0.304,0.194,0.128,0.2,0.29,0.184
