,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.584,0.5,0.648,0.606,0.656,0.476,0.614,0.598,0.642,0.716,0.608,0.662,0.708,0.664,0.636,0.6,0.642,0.536,0.578,0.718
1,0.534,0.524,0.748,0.656,0.628,0.472,0.636,0.674,0.732,0.79,0.566,0.672,0.726,0.72,0.652,0.734,0.71,0.682,0.706,0.166
2,0.544,0.478,0.748,0.596,0.63,0.48,0.658,0.662,0.724,0.766,0.56,0.664,0.768,0.772,0.692,0.772,0.734,0.74,0.16,0.198
3,0.558,0.53,0.75,0.652,0.614,0.466,0.646,0.688,0.754,0.778,0.61,0.716,0.766,0.766,0.694,0.778,0.79,0.178,0.192,0.178
4,0.54,0.538,0.746,0.666,0.612,0.474,0.648,0.656,0.758,0.742,0.568,0.726,0.762,0.776,0.714,0.836,0.264,0.176,0.16,0.162
5,0.574,0.526,0.704,0.628,0.614,0.486,0.646,0.672,0.758,0.748,0.596,0.7,0.758,0.748,0.788,0.206,0.264,0.232,0.156,0.194
6,0.558,0.534,0.778,0.648,0.626,0.466,0.664,0.652,0.75,0.764,0.592,0.72,0.77,0.824,0.194,0.184,0.25,0.22,0.162,0.212
7,0.608,0.552,0.796,0.612,0.606,0.472,0.664,0.702,0.72,0.756,0.618,0.744,0.836,0.238,0.214,0.188,0.236,0.19,0.18,0.19
8,0.586,0.57,0.77,0.626,0.616,0.514,0.656,0.68,0.736,0.772,0.622,0.784,0.296,0.248,0.222,0.206,0.168,0.228,0.174,0.184
9,0.584,0.566,0.794,0.61,0.59,0.518,0.672,0.666,0.748,0.768,0.684,0.19,0.32,0.174,0.218,0.204,0.16,0.226,0.148,0.17
10,0.564,0.54,0.78,0.622,0.63,0.512,0.64,0.724,0.756,0.85,0.238,0.206,0.32,0.216,0.23,0.224,0.218,0.186,0.162,0.16
11,0.536,0.56,0.774,0.63,0.61,0.566,0.684,0.696,0.834,0.278,0.226,0.116,0.24,0.232,0.222,0.178,0.186,0.208,0.156,0.172
12,0.582,0.55,0.778,0.624,0.638,0.55,0.668,0.78,0.182,0.316,0.2,0.138,0.226,0.234,0.218,0.222,0.174,0.19,0.17,0.208
13,0.566,0.584,0.762,0.644,0.664,0.572,0.758,0.228,0.142,0.26,0.188,0.142,0.228,0.224,0.226,0.162,0.202,0.198,0.176,0.17
14,0.552,0.558,0.788,0.644,0.638,0.508,0.236,0.206,0.16,0.21,0.226,0.176,0.22,0.19,0.242,0.238,0.218,0.204,0.138,0.176
15,0.556,0.576,0.756,0.718,0.784,0.252,0.198,0.172,0.156,0.276,0.214,0.182,0.222,0.202,0.252,0.236,0.198,0.25,0.142,0.112
16,0.546,0.656,0.814,0.806,0.192,0.21,0.148,0.19,0.176,0.246,0.248,0.286,0.224,0.166,0.228,0.166,0.154,0.25,0.134,0.122
17,0.602,0.646,0.818,0.17,0.184,0.204,0.204,0.194,0.204,0.226,0.192,0.212,0.14,0.178,0.228,0.278,0.214,0.202,0.158,0.122
18,0.482,0.664,0.366,0.17,0.17,0.18,0.204,0.202,0.214,0.148,0.212,0.144,0.342,0.15,0.242,0.22,0.244,0.168,0.168,0.144
19,0.648,0.2,0.216,0.156,0.186,0.196,0.194,0.172,0.16,0.136,0.16,0.154,0.194,0.166,0.226,0.19,0.248,0.206,0.146,0.188
