,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.556,0.596,0.676,0.45,0.642,0.606,0.694,0.612,0.598,0.53,0.722,0.566,0.548,0.69,0.682,0.732,0.66,0.778,0.688,0.812
1,0.548,0.606,0.678,0.446,0.632,0.62,0.692,0.612,0.604,0.546,0.722,0.558,0.558,0.682,0.672,0.726,0.656,0.774,0.674,0.792
2,0.56,0.62,0.678,0.452,0.628,0.584,0.692,0.618,0.584,0.54,0.716,0.55,0.56,0.702,0.662,0.714,0.66,0.77,0.696,0.786
3,0.552,0.594,0.654,0.436,0.634,0.582,0.692,0.61,0.596,0.526,0.728,0.558,0.546,0.678,0.672,0.734,0.656,0.794,0.684,0.798
4,0.56,0.596,0.68,0.452,0.636,0.586,0.7,0.622,0.586,0.534,0.718,0.538,0.546,0.68,0.668,0.72,0.656,0.774,0.698,0.778
5,0.56,0.608,0.67,0.438,0.642,0.606,0.694,0.616,0.602,0.532,0.724,0.562,0.562,0.692,0.684,0.734,0.644,0.774,0.674,0.794
6,0.546,0.606,0.656,0.456,0.618,0.592,0.702,0.614,0.62,0.528,0.712,0.55,0.558,0.688,0.702,0.712,0.646,0.768,0.698,0.778
7,0.552,0.604,0.688,0.456,0.644,0.604,0.698,0.624,0.586,0.542,0.72,0.564,0.55,0.678,0.662,0.712,0.658,0.764,0.688,0.784
8,0.556,0.622,0.65,0.426,0.648,0.578,0.686,0.62,0.546,0.538,0.686,0.56,0.576,0.658,0.634,0.69,0.662,0.77,0.682,0.784
9,0.534,0.598,0.676,0.434,0.634,0.606,0.716,0.614,0.58,0.562,0.716,0.55,0.546,0.676,0.658,0.696,0.64,0.748,0.692,0.786
10,0.534,0.594,0.668,0.454,0.632,0.622,0.704,0.614,0.596,0.538,0.716,0.556,0.546,0.68,0.672,0.708,0.65,0.768,0.69,0.784
11,0.532,0.616,0.652,0.448,0.624,0.59,0.72,0.616,0.586,0.548,0.706,0.564,0.552,0.688,0.66,0.704,0.646,0.742,0.686,0.786
12,0.532,0.59,0.658,0.456,0.618,0.608,0.702,0.612,0.616,0.55,0.718,0.552,0.546,0.684,0.666,0.702,0.63,0.758,0.698,0.772
13,0.546,0.592,0.654,0.426,0.65,0.582,0.698,0.62,0.55,0.546,0.694,0.556,0.558,0.658,0.63,0.7,0.65,0.752,0.69,0.788
14,0.53,0.576,0.656,0.442,0.63,0.63,0.688,0.628,0.574,0.546,0.708,0.554,0.552,0.676,0.622,0.676,0.642,0.752,0.692,0.788
15,0.548,0.57,0.624,0.436,0.642,0.652,0.69,0.644,0.516,0.546,0.67,0.552,0.52,0.648,0.616,0.666,0.65,0.766,0.69,0.786
16,0.55,0.562,0.65,0.432,0.66,0.628,0.696,0.614,0.552,0.518,0.692,0.554,0.546,0.65,0.63,0.704,0.636,0.768,0.662,0.798
17,0.536,0.57,0.648,0.448,0.612,0.586,0.686,0.622,0.552,0.556,0.686,0.55,0.55,0.672,0.622,0.68,0.626,0.732,0.688,0.766
18,0.578,0.606,0.648,0.444,0.59,0.556,0.658,0.592,0.61,0.532,0.712,0.542,0.568,0.664,0.658,0.7,0.632,0.758,0.672,0.766
19,0.516,0.608,0.652,0.432,0.648,0.582,0.676,0.58,0.56,0.55,0.684,0.548,0.498,0.674,0.636,0.67,0.636,0.736,0.692,0.782
