,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.654,0.2,0.22,0.258,0.21,0.182,0.2,0.192,0.198,0.248,0.196,0.162,0.194,0.272,0.08,0.168,0.196,0.25,0.2,0.192
1,0.674,0.734,0.274,0.248,0.198,0.176,0.2,0.142,0.196,0.194,0.194,0.172,0.212,0.24,0.11,0.178,0.202,0.202,0.192,0.232
2,0.646,0.372,0.272,0.328,0.188,0.19,0.2,0.234,0.202,0.236,0.208,0.22,0.208,0.186,0.198,0.244,0.196,0.268,0.212,0.172
3,0.72,0.8,0.27,0.18,0.192,0.2,0.2,0.136,0.198,0.18,0.192,0.168,0.2,0.278,0.074,0.114,0.212,0.232,0.198,0.194
4,0.71,0.776,0.668,0.17,0.214,0.156,0.2,0.11,0.176,0.19,0.196,0.138,0.198,0.308,0.062,0.122,0.232,0.224,0.2,0.23
5,0.606,0.722,0.37,0.16,0.204,0.144,0.2,0.104,0.234,0.174,0.202,0.202,0.2,0.312,0.082,0.172,0.244,0.202,0.2,0.176
6,0.682,0.752,0.702,0.226,0.22,0.134,0.2,0.112,0.186,0.198,0.198,0.148,0.202,0.33,0.078,0.138,0.242,0.232,0.206,0.202
7,0.67,0.744,0.706,0.79,0.204,0.17,0.2,0.142,0.218,0.204,0.194,0.14,0.202,0.384,0.096,0.174,0.238,0.204,0.18,0.244
8,0.616,0.62,0.636,0.344,0.266,0.204,0.202,0.13,0.2,0.17,0.24,0.236,0.186,0.298,0.104,0.17,0.228,0.198,0.166,0.214
9,0.648,0.742,0.694,0.794,0.17,0.148,0.2,0.152,0.224,0.216,0.198,0.118,0.204,0.362,0.09,0.162,0.234,0.208,0.198,0.246
10,0.62,0.72,0.634,0.682,0.696,0.146,0.2,0.19,0.186,0.232,0.19,0.136,0.226,0.304,0.084,0.178,0.258,0.188,0.188,0.254
11,0.566,0.626,0.622,0.584,0.294,0.144,0.2,0.278,0.28,0.24,0.196,0.144,0.254,0.35,0.074,0.17,0.234,0.144,0.188,0.23
12,0.644,0.722,0.63,0.686,0.732,0.16,0.2,0.166,0.186,0.25,0.188,0.138,0.214,0.306,0.08,0.16,0.274,0.226,0.194,0.294
13,0.626,0.734,0.664,0.652,0.64,0.748,0.2,0.098,0.192,0.194,0.206,0.142,0.208,0.278,0.122,0.138,0.254,0.19,0.204,0.278
14,0.552,0.634,0.604,0.584,0.596,0.372,0.2,0.144,0.188,0.288,0.204,0.132,0.198,0.384,0.128,0.204,0.192,0.216,0.186,0.258
15,0.628,0.708,0.644,0.674,0.632,0.76,0.2,0.09,0.198,0.202,0.204,0.182,0.2,0.272,0.108,0.142,0.258,0.196,0.204,0.26
16,0.676,0.732,0.638,0.658,0.62,0.698,0.824,0.112,0.194,0.18,0.204,0.18,0.208,0.324,0.152,0.142,0.246,0.184,0.21,0.244
17,0.55,0.7,0.608,0.596,0.534,0.55,0.332,0.126,0.15,0.188,0.2,0.122,0.21,0.356,0.168,0.174,0.264,0.254,0.194,0.21
18,0.688,0.758,0.664,0.676,0.618,0.69,0.834,0.114,0.202,0.196,0.198,0.168,0.21,0.284,0.13,0.14,0.236,0.188,0.212,0.248
19,0.626,0.678,0.614,0.628,0.566,0.582,0.736,0.76,0.164,0.22,0.17,0.196,0.194,0.324,0.138,0.144,0.222,0.186,0.182,0.222
