,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.58,0.692,0.478,0.72,0.686,0.45,0.666,0.692,0.616,0.71,0.606,0.654,0.576,0.696,0.602,0.648,0.7,0.732,0.73,0.91
1,0.562,0.688,0.462,0.714,0.66,0.44,0.674,0.68,0.582,0.684,0.606,0.622,0.546,0.658,0.614,0.656,0.688,0.744,0.774,0.2
2,0.594,0.706,0.49,0.704,0.678,0.45,0.662,0.674,0.57,0.678,0.566,0.64,0.592,0.68,0.618,0.66,0.678,0.788,0.146,0.2
3,0.6,0.678,0.464,0.73,0.674,0.454,0.656,0.702,0.606,0.68,0.608,0.646,0.62,0.664,0.58,0.642,0.736,0.14,0.128,0.2
4,0.6,0.714,0.506,0.684,0.64,0.468,0.644,0.65,0.568,0.73,0.64,0.73,0.636,0.732,0.696,0.782,0.21,0.154,0.204,0.204
5,0.576,0.686,0.484,0.67,0.638,0.44,0.656,0.66,0.608,0.746,0.676,0.736,0.636,0.744,0.78,0.188,0.182,0.15,0.152,0.206
6,0.606,0.71,0.494,0.712,0.712,0.466,0.682,0.714,0.616,0.728,0.672,0.716,0.658,0.824,0.118,0.172,0.23,0.118,0.158,0.2
7,0.594,0.706,0.516,0.694,0.686,0.456,0.646,0.706,0.578,0.76,0.668,0.714,0.748,0.246,0.114,0.202,0.206,0.122,0.14,0.2
8,0.554,0.726,0.516,0.718,0.696,0.474,0.678,0.696,0.6,0.738,0.716,0.808,0.254,0.222,0.14,0.166,0.208,0.11,0.124,0.2
9,0.542,0.66,0.52,0.708,0.65,0.498,0.658,0.728,0.614,0.762,0.77,0.266,0.246,0.248,0.13,0.162,0.194,0.142,0.12,0.2
10,0.598,0.688,0.472,0.718,0.662,0.49,0.714,0.706,0.618,0.824,0.182,0.25,0.24,0.206,0.184,0.168,0.188,0.102,0.13,0.2
11,0.614,0.688,0.482,0.716,0.684,0.486,0.692,0.782,0.716,0.16,0.208,0.25,0.27,0.202,0.186,0.164,0.186,0.152,0.136,0.2
12,0.536,0.682,0.482,0.716,0.672,0.488,0.708,0.854,0.214,0.186,0.17,0.218,0.224,0.238,0.164,0.176,0.18,0.146,0.156,0.2
13,0.572,0.706,0.466,0.718,0.68,0.496,0.788,0.238,0.268,0.194,0.202,0.256,0.21,0.21,0.154,0.194,0.182,0.128,0.136,0.202
14,0.386,0.476,0.368,0.562,0.598,0.488,0.178,0.266,0.262,0.23,0.194,0.224,0.24,0.192,0.168,0.202,0.16,0.176,0.184,0.202
15,0.592,0.716,0.544,0.768,0.83,0.218,0.16,0.272,0.28,0.22,0.212,0.266,0.218,0.218,0.176,0.19,0.192,0.16,0.164,0.2
16,0.564,0.726,0.546,0.818,0.232,0.212,0.14,0.208,0.276,0.178,0.224,0.182,0.192,0.194,0.192,0.158,0.178,0.196,0.19,0.202
17,0.498,0.568,0.502,0.198,0.17,0.214,0.192,0.204,0.23,0.124,0.248,0.226,0.18,0.228,0.242,0.22,0.188,0.2,0.182,0.2
18,0.588,0.528,0.202,0.224,0.2,0.19,0.186,0.194,0.172,0.202,0.222,0.192,0.208,0.186,0.198,0.142,0.208,0.152,0.174,0.2
19,0.684,0.232,0.236,0.246,0.148,0.182,0.234,0.224,0.184,0.186,0.178,0.184,0.222,0.198,0.148,0.176,0.208,0.19,0.212,0.2
