,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.776,0.678,0.664,0.552,0.666,0.576,0.576,0.724,0.616,0.622,0.76,0.594,0.804,0.676,0.562,0.65,0.728,0.576,0.718,0.84
1,0.776,0.69,0.676,0.52,0.67,0.588,0.56,0.706,0.588,0.602,0.762,0.61,0.784,0.668,0.586,0.658,0.746,0.578,0.72,0.826
2,0.726,0.678,0.636,0.52,0.666,0.564,0.55,0.726,0.6,0.604,0.75,0.6,0.79,0.652,0.546,0.63,0.718,0.6,0.714,0.8
3,0.676,0.61,0.604,0.53,0.626,0.516,0.558,0.698,0.582,0.554,0.7,0.596,0.764,0.624,0.52,0.582,0.664,0.508,0.62,0.79
4,0.684,0.58,0.564,0.504,0.582,0.524,0.5,0.654,0.516,0.506,0.642,0.55,0.71,0.564,0.464,0.556,0.298,0.45,0.592,0.738
5,0.616,0.638,0.566,0.44,0.484,0.532,0.496,0.604,0.506,0.498,0.636,0.506,0.674,0.532,0.418,0.268,0.362,0.4,0.576,0.622
6,0.602,0.55,0.48,0.404,0.524,0.448,0.43,0.614,0.37,0.46,0.49,0.514,0.62,0.504,0.134,0.29,0.256,0.408,0.538,0.564
7,0.566,0.532,0.502,0.422,0.518,0.45,0.46,0.554,0.49,0.502,0.6,0.466,0.606,0.29,0.194,0.366,0.342,0.45,0.526,0.482
8,0.506,0.634,0.5,0.37,0.498,0.43,0.422,0.522,0.412,0.44,0.592,0.398,0.256,0.318,0.268,0.326,0.358,0.338,0.42,0.424
9,0.536,0.564,0.542,0.426,0.554,0.382,0.418,0.518,0.522,0.354,0.604,0.178,0.288,0.298,0.222,0.216,0.302,0.352,0.512,0.456
10,0.596,0.55,0.546,0.358,0.614,0.42,0.436,0.57,0.442,0.372,0.306,0.214,0.37,0.306,0.18,0.252,0.23,0.392,0.404,0.524
11,0.56,0.536,0.444,0.382,0.496,0.52,0.432,0.562,0.436,0.196,0.258,0.156,0.352,0.15,0.33,0.18,0.294,0.394,0.49,0.472
12,0.626,0.558,0.498,0.364,0.568,0.482,0.454,0.572,0.304,0.242,0.27,0.16,0.348,0.228,0.254,0.184,0.248,0.416,0.468,0.51
13,0.62,0.478,0.438,0.348,0.476,0.458,0.424,0.278,0.25,0.32,0.322,0.178,0.208,0.174,0.3,0.274,0.21,0.38,0.456,0.446
14,0.64,0.628,0.532,0.452,0.466,0.424,0.246,0.336,0.312,0.238,0.342,0.18,0.244,0.208,0.22,0.244,0.24,0.32,0.394,0.492
15,0.612,0.494,0.448,0.43,0.57,0.13,0.242,0.322,0.294,0.188,0.28,0.13,0.23,0.226,0.08,0.154,0.148,0.276,0.35,0.466
16,0.696,0.562,0.406,0.444,0.298,0.16,0.22,0.288,0.238,0.198,0.312,0.14,0.262,0.276,0.142,0.186,0.2,0.27,0.336,0.364
17,0.544,0.364,0.304,0.25,0.198,0.178,0.16,0.276,0.262,0.218,0.354,0.16,0.246,0.282,0.19,0.27,0.296,0.26,0.26,0.374
18,0.436,0.532,0.132,0.24,0.224,0.116,0.204,0.206,0.3,0.248,0.35,0.186,0.284,0.306,0.186,0.228,0.33,0.216,0.232,0.198
19,0.504,0.302,0.166,0.292,0.228,0.138,0.176,0.254,0.24,0.256,0.284,0.182,0.326,0.29,0.138,0.246,0.274,0.26,0.258,0.204
