,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.528,0.594,0.432,0.674,0.548,0.594,0.628,0.458,0.676,0.604,0.53,0.752,0.698,0.642,0.568,0.63,0.618,0.828,0.826,0.76
1,0.578,0.556,0.442,0.676,0.498,0.57,0.632,0.472,0.698,0.584,0.544,0.772,0.68,0.612,0.548,0.62,0.622,0.84,0.87,0.14
2,0.594,0.592,0.454,0.664,0.532,0.582,0.612,0.516,0.716,0.596,0.54,0.738,0.668,0.634,0.57,0.642,0.644,0.858,0.086,0.144
3,0.576,0.572,0.456,0.61,0.57,0.584,0.488,0.456,0.642,0.492,0.46,0.69,0.546,0.622,0.542,0.6,0.618,0.214,0.102,0.166
4,0.608,0.606,0.484,0.656,0.52,0.572,0.604,0.558,0.682,0.602,0.546,0.792,0.722,0.744,0.618,0.802,0.19,0.174,0.106,0.14
5,0.578,0.604,0.5,0.668,0.544,0.568,0.618,0.558,0.696,0.574,0.554,0.782,0.738,0.762,0.676,0.156,0.182,0.216,0.156,0.14
6,0.6,0.624,0.5,0.654,0.548,0.614,0.624,0.532,0.694,0.62,0.562,0.8,0.786,0.824,0.13,0.178,0.19,0.2,0.156,0.132
7,0.566,0.67,0.432,0.684,0.534,0.624,0.638,0.566,0.736,0.596,0.56,0.798,0.834,0.194,0.146,0.164,0.2,0.196,0.12,0.142
8,0.578,0.628,0.458,0.656,0.586,0.624,0.646,0.57,0.72,0.634,0.576,0.858,0.178,0.234,0.17,0.156,0.21,0.188,0.146,0.14
9,0.574,0.602,0.488,0.656,0.562,0.602,0.604,0.6,0.694,0.638,0.626,0.28,0.176,0.152,0.156,0.14,0.196,0.18,0.146,0.174
10,0.576,0.632,0.488,0.652,0.544,0.634,0.604,0.55,0.656,0.776,0.272,0.25,0.188,0.202,0.21,0.202,0.204,0.178,0.206,0.206
11,0.562,0.618,0.482,0.668,0.56,0.658,0.63,0.598,0.81,0.218,0.29,0.286,0.184,0.184,0.19,0.16,0.208,0.164,0.138,0.148
12,0.572,0.634,0.502,0.66,0.576,0.632,0.684,0.7,0.228,0.248,0.302,0.29,0.15,0.176,0.208,0.138,0.198,0.164,0.164,0.156
13,0.612,0.636,0.514,0.662,0.596,0.698,0.74,0.208,0.126,0.264,0.296,0.268,0.154,0.166,0.178,0.142,0.206,0.2,0.178,0.162
14,0.566,0.62,0.53,0.65,0.614,0.794,0.198,0.222,0.19,0.196,0.248,0.256,0.196,0.174,0.19,0.146,0.2,0.164,0.19,0.138
15,0.57,0.592,0.536,0.682,0.692,0.266,0.182,0.234,0.19,0.126,0.262,0.256,0.178,0.188,0.242,0.234,0.198,0.25,0.154,0.168
16,0.612,0.644,0.566,0.774,0.202,0.25,0.12,0.198,0.206,0.22,0.214,0.326,0.196,0.172,0.218,0.172,0.198,0.138,0.18,0.188
17,0.566,0.58,0.61,0.212,0.184,0.262,0.138,0.168,0.248,0.198,0.226,0.272,0.198,0.23,0.236,0.194,0.198,0.136,0.206,0.224
18,0.558,0.714,0.184,0.226,0.208,0.218,0.154,0.182,0.25,0.186,0.21,0.292,0.212,0.198,0.254,0.1,0.2,0.164,0.198,0.126
19,0.544,0.238,0.204,0.224,0.124,0.202,0.172,0.192,0.228,0.198,0.218,0.246,0.18,0.2,0.176,0.09,0.2,0.192,0.186,0.21
