,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.506,0.148,0.196,0.206,0.184,0.12,0.188,0.21,0.24,0.222,0.316,0.172,0.21,0.22,0.176,0.234,0.264,0.198,0.152,0.158
1,0.56,0.7,0.13,0.216,0.242,0.1,0.166,0.196,0.178,0.202,0.132,0.104,0.192,0.214,0.14,0.222,0.182,0.196,0.198,0.158
2,0.536,0.71,0.706,0.19,0.222,0.138,0.176,0.166,0.218,0.226,0.204,0.136,0.186,0.178,0.12,0.196,0.256,0.188,0.14,0.188
3,0.486,0.588,0.684,0.6,0.224,0.138,0.194,0.142,0.264,0.288,0.2,0.15,0.184,0.26,0.16,0.222,0.25,0.158,0.18,0.18
4,0.51,0.57,0.654,0.59,0.766,0.166,0.192,0.128,0.192,0.232,0.228,0.182,0.16,0.26,0.192,0.176,0.274,0.156,0.152,0.174
5,0.514,0.688,0.66,0.538,0.684,0.732,0.204,0.176,0.184,0.298,0.25,0.214,0.194,0.354,0.192,0.22,0.222,0.202,0.184,0.17
6,0.536,0.666,0.688,0.57,0.732,0.74,0.74,0.192,0.22,0.2,0.222,0.224,0.232,0.318,0.18,0.212,0.278,0.202,0.154,0.148
7,0.544,0.642,0.682,0.558,0.708,0.696,0.706,0.716,0.222,0.206,0.228,0.18,0.22,0.342,0.168,0.162,0.29,0.186,0.112,0.146
8,0.6,0.672,0.682,0.6,0.71,0.696,0.69,0.692,0.694,0.278,0.168,0.188,0.158,0.324,0.144,0.22,0.296,0.198,0.124,0.136
9,0.59,0.644,0.67,0.59,0.662,0.698,0.66,0.672,0.686,0.828,0.216,0.148,0.204,0.392,0.232,0.168,0.28,0.154,0.128,0.164
10,0.494,0.544,0.6,0.548,0.664,0.558,0.646,0.624,0.644,0.32,0.144,0.162,0.196,0.24,0.28,0.134,0.24,0.182,0.172,0.176
11,0.43,0.538,0.594,0.506,0.664,0.56,0.524,0.572,0.318,0.282,0.128,0.174,0.148,0.258,0.246,0.156,0.27,0.19,0.192,0.182
