Iteration,Class,Accuracy (%)
0,0,0.0
0,1,32.0
0,2,6.7
0,3,0.0
0,4,0.0
0,5,3.8
0,6,0.0
0,7,0.0
0,8,52.4
0,9,0.0
1,0,89.3
1,1,65.2
1,2,0.0
1,3,0.0
1,4,6.3
1,5,2.4
1,6,0.0
1,7,0.0
1,8,6.8
1,9,0.0
2,0,88.8
2,1,5.5
2,2,74.7
2,3,0.8
2,4,3.7
2,5,1.7
2,6,0.0
2,7,0.0
2,8,2.1
2,9,0.0
3,0,34.8
3,1,45.2
3,2,1.5
3,3,23.0
3,4,49.0
3,5,33.7
3,6,0.0
3,7,0.0
3,8,0.6
3,9,0.0
4,0,69.8
4,1,59.1
4,2,0.0
4,3,13.6
4,4,17.6
4,5,29.1
4,6,1.4
4,7,0.8
4,8,0.2
4,9,0.0
5,0,81.8
5,1,55.0
5,2,4.9
5,3,2.6
5,4,9.7
5,5,22.1
5,6,2.5
5,7,12.3
5,8,0.6
5,9,9.5
