0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.578,0.158,0.2,0.188,0.152,0.178,0.3,0.214,0.244,0.202,0.204,0.186,0.234,0.174,0.152,0.204,0.134,0.186,0.216,0.296
0.572,0.666,0.068,0.226,0.2,0.19,0.208,0.272,0.23,0.196,0.2,0.196,0.244,0.194,0.152,0.21,0.198,0.248,0.202,0.278
0.54,0.56,0.702,0.166,0.19,0.246,0.224,0.24,0.112,0.202,0.174,0.214,0.3,0.234,0.228,0.232,0.214,0.148,0.218,0.278
0.53,0.546,0.62,0.708,0.198,0.124,0.182,0.196,0.118,0.202,0.198,0.158,0.278,0.194,0.156,0.232,0.18,0.124,0.21,0.232
0.576,0.634,0.64,0.63,0.852,0.206,0.194,0.232,0.168,0.204,0.182,0.142,0.314,0.332,0.154,0.196,0.278,0.234,0.24,0.228
0.568,0.62,0.654,0.624,0.798,0.672,0.208,0.186,0.142,0.198,0.198,0.182,0.358,0.258,0.16,0.21,0.222,0.198,0.238,0.184
0.55,0.612,0.672,0.58,0.746,0.578,0.58,0.122,0.194,0.23,0.18,0.172,0.298,0.278,0.162,0.22,0.266,0.264,0.202,0.216
0.568,0.6,0.644,0.662,0.772,0.736,0.614,0.806,0.166,0.208,0.164,0.228,0.38,0.276,0.172,0.204,0.228,0.218,0.204,0.17
0.566,0.578,0.588,0.62,0.722,0.702,0.552,0.756,0.782,0.2,0.18,0.23,0.348,0.27,0.15,0.216,0.194,0.2,0.194,0.23
0.534,0.608,0.588,0.574,0.698,0.678,0.582,0.748,0.734,0.686,0.158,0.242,0.374,0.238,0.166,0.216,0.216,0.29,0.22,0.25
0.508,0.538,0.668,0.62,0.674,0.668,0.536,0.764,0.698,0.638,0.55,0.19,0.358,0.246,0.148,0.214,0.242,0.14,0.21,0.246
0.64,0.616,0.65,0.658,0.782,0.74,0.608,0.75,0.714,0.594,0.32,0.192,0.358,0.264,0.136,0.226,0.204,0.212,0.206,0.246
0.634,0.616,0.658,0.636,0.768,0.716,0.56,0.708,0.672,0.4,0.348,0.19,0.36,0.29,0.148,0.22,0.166,0.21,0.2,0.268
0.524,0.542,0.618,0.664,0.694,0.756,0.542,0.744,0.252,0.35,0.314,0.176,0.314,0.282,0.162,0.202,0.12,0.156,0.212,0.222
0.554,0.564,0.584,0.596,0.686,0.726,0.548,0.28,0.292,0.282,0.322,0.182,0.264,0.248,0.168,0.212,0.112,0.182,0.196,0.236
0.542,0.534,0.574,0.558,0.692,0.686,0.272,0.308,0.324,0.258,0.32,0.182,0.228,0.276,0.176,0.206,0.166,0.198,0.206,0.234
0.62,0.602,0.654,0.674,0.792,0.718,0.384,0.478,0.458,0.326,0.362,0.622,0.276,0.272,0.162,0.206,0.198,0.196,0.198,0.264
0.636,0.626,0.668,0.672,0.802,0.704,0.424,0.53,0.512,0.404,0.37,0.614,0.734,0.272,0.148,0.212,0.262,0.196,0.228,0.274
0.6,0.63,0.644,0.702,0.794,0.68,0.456,0.576,0.556,0.446,0.384,0.616,0.714,0.648,0.146,0.214,0.25,0.202,0.232,0.24
0.584,0.6,0.65,0.688,0.806,0.716,0.442,0.588,0.556,0.452,0.376,0.616,0.724,0.63,0.638,0.206,0.202,0.192,0.256,0.222
0.576,0.584,0.662,0.682,0.794,0.668,0.442,0.558,0.564,0.452,0.394,0.598,0.7,0.616,0.63,0.486,0.228,0.162,0.258,0.224
0.568,0.608,0.664,0.678,0.786,0.694,0.714,0.648,0.606,0.504,0.41,0.578,0.67,0.59,0.61,0.462,0.196,0.202,0.218,0.232
