0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.654,0.17,0.146,0.278,0.19,0.206,0.178,0.236,0.334,0.196,0.246,0.198,0.174,0.206,0.286,0.178,0.186,0.234,0.174,0.218
0.534,0.622,0.168,0.22,0.198,0.326,0.198,0.21,0.224,0.2,0.276,0.202,0.134,0.21,0.25,0.168,0.242,0.084,0.148,0.092
0.524,0.534,0.73,0.338,0.158,0.232,0.278,0.188,0.256,0.218,0.184,0.144,0.124,0.176,0.262,0.17,0.21,0.104,0.16,0.17
0.532,0.522,0.648,0.714,0.19,0.292,0.164,0.33,0.184,0.14,0.2,0.14,0.18,0.252,0.26,0.144,0.26,0.116,0.144,0.164
0.476,0.552,0.594,0.52,0.606,0.214,0.198,0.246,0.214,0.126,0.17,0.098,0.188,0.192,0.214,0.104,0.224,0.08,0.212,0.164
0.578,0.544,0.588,0.612,0.578,0.654,0.192,0.242,0.334,0.18,0.25,0.106,0.152,0.186,0.242,0.144,0.238,0.176,0.16,0.184
0.608,0.542,0.632,0.66,0.662,0.564,0.67,0.254,0.312,0.192,0.206,0.146,0.16,0.13,0.254,0.156,0.23,0.178,0.17,0.17
0.614,0.618,0.682,0.69,0.672,0.596,0.624,0.806,0.26,0.19,0.164,0.128,0.128,0.17,0.29,0.148,0.252,0.198,0.174,0.126
0.654,0.548,0.686,0.706,0.68,0.636,0.654,0.828,0.9,0.188,0.19,0.128,0.106,0.166,0.244,0.09,0.246,0.186,0.194,0.162
0.646,0.564,0.676,0.638,0.704,0.582,0.624,0.752,0.796,0.778,0.16,0.158,0.084,0.136,0.218,0.138,0.242,0.146,0.198,0.182
0.456,0.478,0.488,0.434,0.51,0.472,0.518,0.644,0.752,0.64,0.422,0.192,0.148,0.17,0.21,0.178,0.212,0.156,0.2,0.196
0.672,0.602,0.688,0.662,0.69,0.546,0.65,0.776,0.836,0.738,0.252,0.166,0.136,0.17,0.196,0.128,0.228,0.176,0.188,0.162
0.67,0.578,0.656,0.67,0.71,0.54,0.624,0.772,0.828,0.342,0.264,0.126,0.148,0.162,0.238,0.13,0.282,0.212,0.134,0.122
0.612,0.564,0.624,0.626,0.646,0.536,0.602,0.692,0.282,0.358,0.212,0.118,0.13,0.13,0.298,0.124,0.266,0.224,0.158,0.118
0.608,0.574,0.608,0.62,0.632,0.518,0.622,0.276,0.26,0.38,0.246,0.146,0.118,0.148,0.27,0.118,0.246,0.232,0.128,0.118
0.624,0.548,0.65,0.648,0.704,0.532,0.272,0.258,0.23,0.354,0.212,0.178,0.152,0.158,0.298,0.164,0.244,0.212,0.176,0.154
0.648,0.582,0.682,0.672,0.714,0.572,0.326,0.35,0.378,0.354,0.226,0.62,0.1,0.168,0.27,0.174,0.272,0.192,0.146,0.152
0.7,0.588,0.682,0.672,0.73,0.568,0.326,0.398,0.398,0.38,0.226,0.598,0.676,0.168,0.252,0.106,0.262,0.214,0.128,0.144
0.708,0.59,0.674,0.654,0.726,0.536,0.346,0.406,0.442,0.332,0.228,0.588,0.634,0.618,0.254,0.08,0.242,0.186,0.134,0.106
0.7,0.6,0.68,0.654,0.69,0.558,0.348,0.436,0.444,0.34,0.252,0.578,0.612,0.572,0.688,0.092,0.204,0.198,0.114,0.106
0.716,0.6,0.684,0.668,0.712,0.554,0.372,0.402,0.424,0.318,0.27,0.598,0.614,0.566,0.664,0.726,0.26,0.192,0.114,0.114
0.692,0.604,0.672,0.686,0.728,0.56,0.728,0.428,0.446,0.378,0.268,0.578,0.598,0.56,0.638,0.688,0.276,0.196,0.14,0.094
0.698,0.616,0.682,0.678,0.718,0.578,0.66,0.846,0.508,0.396,0.292,0.584,0.598,0.544,0.634,0.68,0.278,0.184,0.154,0.1
0.688,0.588,0.67,0.672,0.69,0.582,0.642,0.824,0.884,0.476,0.314,0.6,0.586,0.548,0.644,0.662,0.262,0.208,0.16,0.108
0.674,0.612,0.698,0.672,0.71,0.552,0.65,0.81,0.86,0.806,0.312,0.598,0.602,0.574,0.624,0.666,0.27,0.174,0.18,0.152
0.666,0.58,0.674,0.64,0.692,0.538,0.652,0.79,0.842,0.78,0.502,0.562,0.568,0.568,0.602,0.656,0.286,0.164,0.186,0.154
0.686,0.2,0.292,0.174,0.104,0.17,0.164,0.184,0.176,0.164,0.26,0.162,0.178,0.198,0.136,0.266,0.152,0.178,0.168,0.108
0.698,0.714,0.25,0.226,0.074,0.25,0.238,0.174,0.174,0.152,0.188,0.104,0.16,0.208,0.184,0.178,0.156,0.168,0.198,0.116
0.664,0.688,0.616,0.276,0.124,0.118,0.236,0.14,0.146,0.178,0.134,0.23,0.17,0.222,0.15,0.168,0.152,0.186,0.228,0.212
0.668,0.618,0.454,0.748,0.18,0.166,0.242,0.114,0.116,0.2,0.104,0.222,0.276,0.206,0.136,0.17,0.142,0.232,0.182,0.22
0.664,0.54,0.408,0.644,0.66,0.154,0.246,0.152,0.18,0.194,0.236,0.268,0.226,0.248,0.17,0.154,0.122,0.226,0.18,0.216
0.662,0.66,0.444,0.692,0.716,0.588,0.22,0.064,0.156,0.19,0.174,0.302,0.258,0.236,0.16,0.128,0.152,0.152,0.18,0.172
0.77,0.722,0.52,0.716,0.8,0.61,0.7,0.13,0.202,0.196,0.152,0.254,0.178,0.24,0.198,0.142,0.108,0.204,0.166,0.16
0.732,0.694,0.52,0.694,0.752,0.586,0.68,0.792,0.22,0.174,0.18,0.242,0.206,0.216,0.186,0.14,0.162,0.228,0.168,0.208
0.742,0.644,0.37,0.66,0.642,0.586,0.616,0.574,0.634,0.126,0.136,0.268,0.21,0.252,0.244,0.19,0.126,0.178,0.164,0.122
0.782,0.706,0.554,0.71,0.756,0.582,0.674,0.714,0.692,0.828,0.09,0.238,0.282,0.258,0.222,0.162,0.1,0.206,0.156,0.144
0.74,0.736,0.54,0.746,0.778,0.626,0.738,0.72,0.672,0.77,0.834,0.236,0.222,0.254,0.218,0.144,0.094,0.176,0.202,0.108
0.764,0.71,0.572,0.764,0.788,0.618,0.72,0.732,0.666,0.762,0.328,0.272,0.23,0.234,0.196,0.164,0.096,0.21,0.17,0.116
0.704,0.716,0.546,0.75,0.748,0.584,0.71,0.718,0.62,0.302,0.374,0.186,0.222,0.192,0.222,0.164,0.166,0.224,0.21,0.118
0.746,0.708,0.578,0.742,0.77,0.556,0.706,0.718,0.21,0.436,0.468,0.246,0.216,0.204,0.208,0.194,0.124,0.218,0.162,0.154
0.734,0.656,0.526,0.726,0.708,0.604,0.704,0.232,0.264,0.432,0.474,0.296,0.296,0.21,0.178,0.208,0.156,0.23,0.194,0.116
0.766,0.714,0.526,0.714,0.756,0.564,0.208,0.238,0.224,0.374,0.378,0.22,0.31,0.2,0.192,0.166,0.172,0.188,0.158,0.132
0.758,0.726,0.554,0.714,0.808,0.608,0.38,0.282,0.272,0.478,0.462,0.74,0.232,0.232,0.17,0.184,0.132,0.24,0.172,0.142
0.75,0.734,0.552,0.734,0.81,0.598,0.378,0.292,0.298,0.456,0.472,0.708,0.772,0.236,0.182,0.18,0.154,0.216,0.214,0.144
0.742,0.7,0.56,0.744,0.768,0.592,0.46,0.34,0.328,0.538,0.456,0.692,0.746,0.674,0.188,0.226,0.122,0.21,0.22,0.128
0.722,0.682,0.548,0.728,0.792,0.568,0.468,0.378,0.314,0.554,0.456,0.71,0.74,0.672,0.574,0.26,0.13,0.216,0.19,0.118
0.718,0.682,0.548,0.712,0.748,0.568,0.476,0.336,0.31,0.558,0.394,0.652,0.738,0.658,0.536,0.796,0.154,0.22,0.206,0.124
0.716,0.69,0.564,0.716,0.778,0.57,0.768,0.366,0.358,0.61,0.46,0.67,0.738,0.648,0.506,0.72,0.126,0.232,0.226,0.16
0.72,0.684,0.546,0.708,0.746,0.58,0.726,0.782,0.39,0.652,0.554,0.614,0.666,0.63,0.474,0.75,0.144,0.222,0.206,0.192
0.722,0.69,0.57,0.734,0.762,0.602,0.746,0.732,0.73,0.69,0.528,0.628,0.674,0.62,0.466,0.738,0.148,0.236,0.206,0.134
0.738,0.684,0.554,0.694,0.778,0.598,0.736,0.734,0.698,0.808,0.552,0.642,0.696,0.624,0.502,0.728,0.122,0.234,0.204,0.142
0.746,0.7,0.556,0.712,0.78,0.592,0.75,0.716,0.692,0.776,0.828,0.636,0.678,0.634,0.478,0.718,0.114,0.234,0.212,0.132
