0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.58,0.246,0.198,0.298,0.198,0.138,0.228,0.198,0.15,0.2,0.2,0.21,0.19,0.204,0.212,0.23,0.2,0.232,0.208,0.244
0.574,0.756,0.206,0.226,0.194,0.128,0.162,0.202,0.258,0.158,0.2,0.184,0.164,0.138,0.282,0.234,0.17,0.234,0.16,0.192
0.61,0.648,0.638,0.242,0.288,0.19,0.17,0.172,0.242,0.216,0.2,0.166,0.202,0.184,0.174,0.176,0.17,0.182,0.198,0.232
0.61,0.742,0.648,0.788,0.22,0.22,0.182,0.17,0.202,0.274,0.2,0.176,0.23,0.2,0.178,0.144,0.184,0.194,0.204,0.288
0.51,0.592,0.586,0.774,0.546,0.186,0.204,0.2,0.194,0.25,0.2,0.166,0.208,0.224,0.164,0.15,0.168,0.194,0.206,0.276
0.604,0.668,0.468,0.648,0.52,0.64,0.204,0.188,0.19,0.174,0.198,0.196,0.204,0.176,0.174,0.124,0.186,0.206,0.224,0.23
0.54,0.714,0.572,0.63,0.534,0.64,0.56,0.148,0.194,0.208,0.2,0.158,0.208,0.224,0.204,0.186,0.162,0.15,0.226,0.248
0.61,0.658,0.58,0.714,0.584,0.622,0.632,0.672,0.2,0.246,0.204,0.192,0.202,0.204,0.23,0.168,0.16,0.192,0.188,0.326
0.536,0.72,0.566,0.628,0.55,0.594,0.572,0.61,0.688,0.232,0.2,0.124,0.192,0.25,0.224,0.144,0.188,0.172,0.196,0.312
0.67,0.762,0.61,0.652,0.526,0.63,0.578,0.658,0.682,0.86,0.204,0.182,0.21,0.196,0.228,0.072,0.146,0.168,0.172,0.3
0.668,0.73,0.628,0.622,0.52,0.636,0.562,0.682,0.68,0.82,0.83,0.216,0.212,0.194,0.202,0.07,0.112,0.136,0.186,0.294
0.576,0.68,0.576,0.514,0.512,0.582,0.528,0.574,0.586,0.754,0.7,0.646,0.236,0.196,0.236,0.09,0.164,0.16,0.182,0.356
0.66,0.712,0.638,0.636,0.526,0.61,0.564,0.634,0.632,0.766,0.726,0.65,0.71,0.176,0.218,0.062,0.15,0.168,0.178,0.302
0.662,0.708,0.606,0.64,0.514,0.612,0.572,0.586,0.634,0.758,0.7,0.644,0.682,0.78,0.244,0.096,0.168,0.158,0.176,0.35
0.66,0.776,0.644,0.61,0.5,0.612,0.578,0.6,0.654,0.756,0.694,0.64,0.66,0.758,0.87,0.13,0.16,0.162,0.14,0.394
0.632,0.764,0.648,0.602,0.54,0.632,0.512,0.612,0.644,0.778,0.752,0.66,0.644,0.74,0.822,0.844,0.17,0.182,0.144,0.306
0.594,0.744,0.628,0.62,0.542,0.628,0.534,0.572,0.618,0.738,0.676,0.646,0.604,0.716,0.786,0.772,0.664,0.154,0.134,0.328
0.584,0.716,0.612,0.612,0.522,0.57,0.53,0.576,0.636,0.708,0.676,0.64,0.618,0.684,0.782,0.726,0.626,0.742,0.144,0.314
0.638,0.718,0.658,0.632,0.522,0.604,0.538,0.584,0.618,0.72,0.746,0.634,0.574,0.642,0.832,0.78,0.642,0.718,0.79,0.298
0.64,0.678,0.644,0.656,0.534,0.578,0.548,0.58,0.634,0.698,0.684,0.648,0.57,0.664,0.8,0.764,0.616,0.708,0.71,0.82
0.558,0.67,0.554,0.638,0.508,0.52,0.508,0.606,0.558,0.696,0.698,0.57,0.586,0.602,0.748,0.718,0.512,0.624,0.64,0.326
0.536,0.712,0.566,0.568,0.508,0.468,0.468,0.568,0.536,0.704,0.666,0.606,0.57,0.618,0.716,0.698,0.49,0.66,0.338,0.34
0.56,0.68,0.594,0.63,0.466,0.498,0.5,0.558,0.57,0.658,0.65,0.56,0.546,0.564,0.706,0.676,0.482,0.294,0.346,0.492
0.582,0.612,0.604,0.664,0.492,0.51,0.508,0.608,0.548,0.652,0.616,0.524,0.55,0.544,0.67,0.686,0.316,0.346,0.346,0.538
0.594,0.594,0.574,0.596,0.416,0.514,0.496,0.604,0.564,0.672,0.644,0.558,0.542,0.544,0.696,0.31,0.368,0.426,0.328,0.534
0.55,0.606,0.552,0.612,0.464,0.52,0.502,0.606,0.568,0.68,0.694,0.478,0.574,0.538,0.326,0.4,0.336,0.388,0.296,0.422
0.506,0.642,0.552,0.6,0.456,0.504,0.454,0.608,0.532,0.622,0.702,0.514,0.564,0.302,0.398,0.398,0.36,0.346,0.268,0.368
0.502,0.652,0.554,0.616,0.466,0.468,0.536,0.562,0.542,0.682,0.628,0.492,0.36,0.35,0.492,0.34,0.372,0.324,0.258,0.362
0.508,0.662,0.58,0.594,0.468,0.536,0.536,0.618,0.55,0.694,0.682,0.316,0.42,0.364,0.35,0.408,0.364,0.302,0.254,0.364
0.53,0.674,0.566,0.54,0.392,0.506,0.526,0.646,0.564,0.668,0.278,0.32,0.378,0.362,0.372,0.326,0.336,0.298,0.234,0.316
0.496,0.592,0.506,0.592,0.408,0.502,0.508,0.57,0.508,0.328,0.348,0.288,0.374,0.312,0.348,0.306,0.338,0.28,0.228,0.246
0.574,0.672,0.562,0.582,0.488,0.554,0.484,0.612,0.27,0.448,0.34,0.33,0.392,0.328,0.336,0.328,0.366,0.27,0.234,0.266
0.576,0.618,0.524,0.518,0.378,0.554,0.486,0.34,0.284,0.386,0.316,0.314,0.366,0.406,0.282,0.284,0.304,0.27,0.224,0.234
0.514,0.648,0.57,0.646,0.414,0.518,0.3,0.394,0.278,0.322,0.334,0.292,0.348,0.33,0.25,0.284,0.308,0.28,0.216,0.188
0.524,0.578,0.54,0.578,0.432,0.3,0.292,0.378,0.23,0.314,0.376,0.326,0.346,0.328,0.246,0.26,0.256,0.276,0.204,0.18
0.552,0.612,0.562,0.642,0.236,0.386,0.392,0.374,0.248,0.308,0.384,0.304,0.33,0.33,0.244,0.222,0.264,0.254,0.208,0.186
0.488,0.608,0.51,0.304,0.248,0.376,0.318,0.304,0.2,0.226,0.258,0.282,0.334,0.274,0.224,0.188,0.238,0.252,0.198,0.17
0.54,0.64,0.332,0.242,0.312,0.336,0.262,0.354,0.176,0.25,0.234,0.236,0.264,0.284,0.232,0.206,0.202,0.218,0.2,0.14
0.536,0.306,0.318,0.212,0.328,0.282,0.282,0.214,0.17,0.222,0.202,0.212,0.226,0.27,0.208,0.226,0.204,0.22,0.2,0.102
