0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.478,0.2,0.092,0.22,0.254,0.164,0.2,0.158,0.172,0.134,0.162,0.182,0.238,0.258,0.13,0.234,0.2,0.2,0.094,0.194
0.378,0.554,0.176,0.19,0.194,0.198,0.162,0.136,0.218,0.23,0.132,0.316,0.198,0.168,0.094,0.208,0.2,0.2,0.2,0.222
0.386,0.552,0.664,0.23,0.17,0.242,0.192,0.23,0.2,0.144,0.162,0.244,0.226,0.166,0.18,0.212,0.2,0.2,0.246,0.192
0.304,0.538,0.68,0.588,0.264,0.15,0.2,0.17,0.204,0.138,0.15,0.204,0.198,0.184,0.176,0.202,0.2,0.2,0.162,0.2
0.462,0.536,0.706,0.542,0.622,0.232,0.204,0.236,0.142,0.202,0.22,0.214,0.13,0.166,0.14,0.218,0.2,0.2,0.184,0.198
0.456,0.558,0.732,0.552,0.564,0.778,0.202,0.104,0.234,0.15,0.166,0.232,0.126,0.164,0.214,0.28,0.2,0.2,0.204,0.168
0.49,0.574,0.696,0.582,0.522,0.284,0.184,0.218,0.204,0.218,0.19,0.216,0.18,0.118,0.156,0.29,0.2,0.2,0.204,0.184
0.464,0.586,0.714,0.558,0.29,0.266,0.178,0.208,0.218,0.208,0.174,0.192,0.146,0.152,0.13,0.26,0.2,0.2,0.272,0.196
0.472,0.574,0.672,0.28,0.326,0.282,0.188,0.218,0.2,0.196,0.194,0.21,0.2,0.148,0.178,0.274,0.2,0.2,0.248,0.2
0.456,0.444,0.26,0.236,0.288,0.222,0.19,0.16,0.196,0.238,0.19,0.194,0.184,0.162,0.146,0.206,0.2,0.2,0.206,0.196
0.422,0.284,0.2,0.226,0.29,0.22,0.19,0.15,0.19,0.166,0.168,0.146,0.226,0.196,0.164,0.17,0.2,0.2,0.184,0.2
0.672,0.206,0.194,0.192,0.168,0.166,0.284,0.138,0.226,0.214,0.182,0.306,0.172,0.274,0.226,0.23,0.2,0.2,0.208,0.182
0.716,0.708,0.286,0.186,0.14,0.194,0.306,0.114,0.226,0.16,0.188,0.228,0.216,0.182,0.218,0.168,0.2,0.2,0.176,0.152
0.612,0.644,0.734,0.222,0.198,0.326,0.188,0.178,0.2,0.202,0.19,0.276,0.164,0.234,0.286,0.166,0.2,0.202,0.136,0.23
0.634,0.708,0.734,0.728,0.208,0.31,0.17,0.224,0.202,0.218,0.198,0.282,0.202,0.196,0.29,0.144,0.2,0.198,0.15,0.198
0.54,0.62,0.634,0.662,0.616,0.282,0.262,0.156,0.188,0.236,0.17,0.268,0.224,0.214,0.262,0.208,0.2,0.204,0.168,0.192
0.512,0.58,0.578,0.692,0.564,0.792,0.202,0.168,0.18,0.202,0.178,0.176,0.208,0.194,0.276,0.2,0.2,0.198,0.214,0.196
0.606,0.688,0.724,0.612,0.596,0.294,0.242,0.144,0.196,0.184,0.182,0.15,0.236,0.178,0.21,0.23,0.2,0.202,0.18,0.19
0.534,0.654,0.678,0.654,0.31,0.382,0.18,0.182,0.188,0.156,0.172,0.166,0.224,0.202,0.234,0.216,0.2,0.202,0.178,0.178
0.612,0.654,0.616,0.252,0.296,0.248,0.156,0.148,0.196,0.168,0.152,0.116,0.206,0.166,0.19,0.2,0.2,0.204,0.198,0.176
0.624,0.64,0.266,0.298,0.264,0.25,0.142,0.19,0.206,0.156,0.166,0.16,0.234,0.242,0.194,0.236,0.2,0.21,0.198,0.194
0.45,0.314,0.262,0.206,0.18,0.24,0.136,0.16,0.192,0.152,0.186,0.122,0.2,0.276,0.206,0.246,0.2,0.208,0.232,0.19
0.696,0.236,0.282,0.2,0.19,0.244,0.196,0.196,0.202,0.132,0.172,0.184,0.15,0.122,0.166,0.172,0.204,0.202,0.164,0.2
0.528,0.586,0.248,0.21,0.244,0.214,0.2,0.332,0.216,0.098,0.218,0.164,0.208,0.158,0.154,0.206,0.2,0.196,0.218,0.194
0.554,0.664,0.69,0.166,0.19,0.184,0.202,0.32,0.216,0.198,0.234,0.094,0.19,0.194,0.272,0.144,0.2,0.196,0.176,0.242
0.65,0.67,0.658,0.782,0.244,0.222,0.208,0.358,0.208,0.156,0.184,0.162,0.122,0.136,0.138,0.138,0.2,0.198,0.158,0.214
0.564,0.636,0.692,0.696,0.668,0.16,0.196,0.198,0.218,0.148,0.21,0.148,0.112,0.162,0.232,0.248,0.2,0.19,0.168,0.21
0.666,0.664,0.702,0.656,0.652,0.674,0.198,0.274,0.178,0.098,0.192,0.202,0.158,0.124,0.188,0.2,0.2,0.17,0.194,0.206
0.56,0.694,0.646,0.578,0.672,0.26,0.2,0.262,0.176,0.16,0.19,0.182,0.12,0.134,0.208,0.18,0.2,0.198,0.154,0.198
0.64,0.706,0.694,0.636,0.3,0.208,0.21,0.278,0.21,0.146,0.204,0.15,0.142,0.142,0.218,0.202,0.2,0.2,0.156,0.196
0.636,0.6,0.71,0.298,0.31,0.194,0.228,0.23,0.186,0.158,0.232,0.132,0.178,0.158,0.224,0.19,0.2,0.2,0.188,0.162
0.614,0.676,0.338,0.244,0.206,0.132,0.202,0.16,0.192,0.162,0.216,0.136,0.178,0.126,0.17,0.214,0.2,0.2,0.17,0.204
0.604,0.224,0.264,0.182,0.176,0.18,0.22,0.116,0.196,0.174,0.168,0.138,0.16,0.118,0.186,0.194,0.19,0.2,0.164,0.188
