task,stage,attack_acc,cv_acc,auc
0,pre,0.484,0.08,0.4681
0,post,0.484,0.08,0.4681
0,pre,0.498,0.1,0.4943
0,post,0.498,0.1,0.4943
0,pre,0.514,0.106,0.5202
0,post,0.514,0.106,0.5202
0,pre,0.492,0.094,0.4837
0,post,0.492,0.094,0.4837
0,pre,0.51,0.116,0.5281
0,post,0.51,0.116,0.5281
0,pre,0.49,0.108,0.4894
0,post,0.49,0.108,0.4894
0,pre,0.514,0.1,0.5328
0,post,0.514,0.1,0.5328
0,pre,0.42,0.098,0.4494
0,post,0.42,0.098,0.4494
0,pre,0.462,0.084,0.4447
0,post,0.462,0.084,0.4447
0,pre,0.48,0.118,0.4865
0,post,0.48,0.118,0.4865
