task,stage,attack_acc,cv_acc,auc
0,pre,0.9336,0.902,0.99
0,post,0.9336,0.902,0.99
0,pre,0.8789,0.8706,0.9315
0,post,0.8789,0.8706,0.9315
0,pre,0.918,0.9059,0.9599
0,post,0.918,0.9059,0.9599
0,pre,0.918,0.8902,0.975
0,post,0.918,0.8902,0.975
0,pre,0.8516,0.7765,0.9496
0,post,0.8516,0.7765,0.9496
0,pre,0.957,0.902,0.9915
0,post,0.957,0.902,0.9915
0,pre,0.9375,0.8941,0.9771
0,post,0.9375,0.8941,0.9771
0,pre,0.9453,0.949,0.9958
0,post,0.9453,0.949,0.9958
0,pre,0.9766,0.9608,0.998
0,post,0.9766,0.9608,0.998
0,pre,0.9688,0.9686,0.9965
0,post,0.9688,0.9686,0.9965
