,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.77,0.704,0.646,0.734,0.668,0.648,0.666,0.632,0.728,0.844,0.582,0.722,0.66,0.678,0.658,0.72,0.732,0.638,0.52,0.742
1,0.586,0.508,0.472,0.664,0.478,0.57,0.464,0.492,0.668,0.674,0.456,0.618,0.506,0.486,0.492,0.668,0.584,0.5,0.436,0.558
2,0.58,0.524,0.476,0.666,0.494,0.568,0.47,0.482,0.674,0.678,0.45,0.616,0.502,0.49,0.49,0.67,0.59,0.506,0.424,0.568
3,0.598,0.53,0.48,0.674,0.498,0.586,0.472,0.498,0.68,0.684,0.464,0.612,0.51,0.51,0.504,0.658,0.59,0.496,0.44,0.59
4,0.612,0.524,0.488,0.68,0.496,0.598,0.474,0.5,0.69,0.7,0.448,0.614,0.512,0.528,0.498,0.676,0.596,0.502,0.422,0.61
5,0.606,0.548,0.49,0.686,0.534,0.6,0.488,0.502,0.678,0.684,0.478,0.632,0.522,0.51,0.516,0.672,0.6,0.508,0.442,0.584
6,0.62,0.534,0.506,0.678,0.52,0.614,0.488,0.51,0.686,0.7,0.48,0.626,0.526,0.53,0.514,0.682,0.602,0.51,0.444,0.594
7,0.606,0.546,0.518,0.692,0.546,0.614,0.498,0.518,0.678,0.698,0.484,0.652,0.534,0.528,0.52,0.672,0.622,0.512,0.45,0.606
8,0.622,0.538,0.526,0.698,0.526,0.6,0.514,0.526,0.676,0.71,0.478,0.64,0.528,0.55,0.514,0.672,0.618,0.532,0.446,0.614
9,0.626,0.556,0.548,0.7,0.554,0.6,0.518,0.546,0.686,0.71,0.504,0.652,0.556,0.56,0.534,0.674,0.628,0.524,0.444,0.618
10,0.644,0.568,0.574,0.72,0.56,0.638,0.532,0.554,0.696,0.724,0.488,0.652,0.536,0.566,0.536,0.7,0.634,0.55,0.448,0.646
11,0.678,0.606,0.61,0.728,0.578,0.656,0.546,0.576,0.688,0.746,0.514,0.676,0.574,0.604,0.562,0.71,0.666,0.554,0.468,0.684
12,0.494,0.434,0.352,0.416,0.342,0.37,0.384,0.4,0.568,0.544,0.328,0.456,0.404,0.464,0.316,0.496,0.4,0.414,0.34,0.39
13,0.528,0.522,0.382,0.456,0.398,0.39,0.386,0.45,0.612,0.634,0.332,0.524,0.434,0.494,0.362,0.536,0.516,0.46,0.386,0.428
14,0.564,0.528,0.378,0.474,0.386,0.4,0.398,0.454,0.624,0.642,0.338,0.514,0.432,0.484,0.366,0.536,0.516,0.442,0.372,0.458
15,0.516,0.554,0.4,0.46,0.416,0.378,0.404,0.454,0.606,0.654,0.366,0.534,0.452,0.482,0.374,0.524,0.516,0.474,0.42,0.45
16,0.582,0.55,0.386,0.446,0.378,0.394,0.412,0.458,0.618,0.66,0.342,0.528,0.46,0.492,0.372,0.54,0.518,0.462,0.4,0.472
17,0.572,0.58,0.386,0.466,0.398,0.406,0.402,0.462,0.622,0.654,0.386,0.536,0.448,0.496,0.384,0.546,0.526,0.464,0.402,0.478
