,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6816,0.6804,0.6724,0.674,0.6792,0.6936,0.6788,0.6692,0.6748,0.7096,0.6536,0.6408,0.5852,0.596,0.4072,0.4364,0.544,0.4136,0.4872,0.3492
1,0.7452,0.7388,0.7448,0.7424,0.7392,0.7364,0.7472,0.7432,0.7444,0.7244,0.714,0.732,0.6048,0.6144,0.5828,0.6108,0.488,0.4524,0.4584,0.3772
2,0.702,0.698,0.722,0.7352,0.7324,0.7404,0.7272,0.7396,0.7396,0.736,0.6668,0.6776,0.6572,0.6072,0.4708,0.6264,0.4808,0.5036,0.3752,0.3292
3,0.5664,0.572,0.5544,0.5748,0.5708,0.5612,0.5592,0.576,0.5572,0.518,0.5316,0.5564,0.5652,0.4864,0.3468,0.4144,0.396,0.376,0.3512,0.3016
4,0.6332,0.6372,0.632,0.644,0.6484,0.6392,0.6512,0.6488,0.6508,0.6516,0.6484,0.6444,0.6048,0.58,0.5192,0.5856,0.5536,0.4452,0.5056,0.3424
5,0.5164,0.6448,0.6576,0.6616,0.6532,0.666,0.6488,0.664,0.6596,0.6672,0.6812,0.684,0.6736,0.61,0.5656,0.5732,0.5848,0.5736,0.526,0.51
6,0.7084,0.71,0.7228,0.7248,0.73,0.7208,0.7108,0.7176,0.7292,0.7092,0.702,0.71,0.7248,0.7104,0.7168,0.708,0.7268,0.7016,0.6288,0.5672
7,0.6092,0.61,0.5912,0.62,0.6132,0.6088,0.628,0.6128,0.6136,0.616,0.6104,0.6108,0.6128,0.6052,0.5836,0.576,0.5368,0.4152,0.3952,0.3636
8,0.6008,0.6176,0.6176,0.6204,0.6096,0.624,0.6132,0.6164,0.6192,0.6292,0.5624,0.5608,0.3956,0.3548,0.4548,0.4396,0.4556,0.4516,0.3608,0.3636
9,0.6476,0.6428,0.6572,0.6408,0.6544,0.6492,0.644,0.6348,0.6608,0.6564,0.63,0.592,0.5204,0.4716,0.4092,0.3744,0.4608,0.3652,0.4352,0.3436
