,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.714,0.62,0.606,0.692,0.702,0.83,0.732,0.644,0.546,0.61,0.564,0.756,0.764,0.714,0.736,0.65,0.676,0.694,0.748,0.85
1,0.716,0.726,0.79,0.748,0.68,0.604,0.502,0.724,0.704,0.628,0.664,0.534,0.672,0.648,0.576,0.734,0.694,0.602,0.688,0.78
2,0.694,0.596,0.468,0.552,0.646,0.66,0.626,0.71,0.73,0.466,0.604,0.552,0.742,0.796,0.736,0.694,0.734,0.736,0.616,0.692
3,0.584,0.686,0.68,0.704,0.612,0.766,0.706,0.654,0.696,0.648,0.71,0.634,0.69,0.55,0.64,0.766,0.53,0.618,0.756,0.802
4,0.54,0.62,0.58,0.698,0.638,0.61,0.656,0.812,0.61,0.692,0.554,0.556,0.786,0.612,0.648,0.772,0.694,0.786,0.852,0.78
5,0.632,0.652,0.73,0.652,0.658,0.678,0.636,0.59,0.7,0.708,0.488,0.794,0.644,0.612,0.66,0.778,0.756,0.654,0.684,0.65
6,0.772,0.61,0.638,0.48,0.752,0.672,0.67,0.732,0.634,0.612,0.654,0.664,0.618,0.63,0.678,0.674,0.778,0.68,0.838,0.7
7,0.688,0.62,0.628,0.654,0.528,0.672,0.56,0.762,0.592,0.814,0.736,0.72,0.766,0.666,0.72,0.688,0.658,0.64,0.744,0.784
8,0.682,0.654,0.54,0.706,0.528,0.448,0.554,0.686,0.634,0.672,0.71,0.654,0.634,0.674,0.628,0.758,0.578,0.748,0.774,0.866
9,0.61,0.656,0.77,0.566,0.544,0.576,0.678,0.68,0.724,0.756,0.76,0.616,0.712,0.618,0.692,0.628,0.616,0.72,0.778,0.8
