,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.554,0.556,0.532,0.504,0.478,0.484,0.402,0.478,0.47,0.532,0.486,0.498,0.456,0.482,0.472,0.466,0.414,0.472,0.422,0.298
1,0.694,0.618,0.55,0.578,0.538,0.6,0.562,0.542,0.458,0.488,0.554,0.516,0.494,0.466,0.504,0.518,0.478,0.498,0.47,0.346
2,0.642,0.63,0.64,0.594,0.51,0.518,0.6,0.496,0.62,0.472,0.568,0.49,0.544,0.55,0.582,0.532,0.532,0.526,0.566,0.564
3,0.684,0.606,0.618,0.592,0.606,0.584,0.65,0.562,0.564,0.62,0.56,0.514,0.57,0.564,0.592,0.52,0.594,0.52,0.526,0.542
4,0.606,0.568,0.564,0.552,0.568,0.556,0.54,0.532,0.468,0.438,0.468,0.458,0.464,0.446,0.414,0.332,0.466,0.478,0.464,0.382
5,0.65,0.63,0.578,0.58,0.516,0.61,0.62,0.61,0.658,0.632,0.622,0.646,0.636,0.634,0.598,0.568,0.574,0.566,0.424,0.458
6,0.502,0.47,0.508,0.464,0.468,0.454,0.476,0.39,0.372,0.422,0.434,0.428,0.394,0.464,0.372,0.398,0.35,0.462,0.448,0.416
7,0.692,0.68,0.676,0.63,0.626,0.694,0.664,0.674,0.684,0.68,0.588,0.57,0.592,0.578,0.536,0.57,0.538,0.502,0.598,0.548
8,0.618,0.494,0.506,0.556,0.502,0.498,0.502,0.5,0.53,0.604,0.52,0.594,0.488,0.614,0.566,0.548,0.56,0.53,0.576,0.504
9,0.82,0.798,0.714,0.682,0.638,0.594,0.548,0.714,0.654,0.668,0.576,0.522,0.572,0.608,0.676,0.66,0.638,0.634,0.622,0.672
