,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.298,0.292,0.318,0.258,0.25,0.266,0.252,0.136,0.2,0.322,0.122,0.242,0.174,0.24,0.18,0.17,0.212,0.222,0.182,0.246
1,0.346,0.332,0.246,0.15,0.252,0.168,0.266,0.19,0.188,0.224,0.158,0.236,0.136,0.166,0.1,0.302,0.21,0.278,0.274,0.3
2,0.564,0.268,0.312,0.208,0.21,0.138,0.294,0.192,0.194,0.158,0.252,0.274,0.198,0.412,0.13,0.186,0.102,0.238,0.246,0.26
3,0.542,0.29,0.408,0.262,0.188,0.312,0.146,0.292,0.288,0.24,0.214,0.172,0.23,0.316,0.26,0.2,0.38,0.266,0.454,0.21
4,0.382,0.284,0.23,0.29,0.282,0.276,0.268,0.248,0.258,0.18,0.292,0.196,0.27,0.32,0.234,0.228,0.184,0.336,0.166,0.274
5,0.458,0.336,0.198,0.278,0.182,0.112,0.202,0.226,0.322,0.156,0.214,0.186,0.222,0.21,0.13,0.26,0.216,0.166,0.22,0.234
6,0.416,0.338,0.224,0.294,0.108,0.334,0.238,0.228,0.222,0.182,0.17,0.324,0.24,0.254,0.32,0.238,0.246,0.248,0.17,0.268
7,0.548,0.33,0.332,0.336,0.206,0.324,0.204,0.27,0.25,0.352,0.394,0.29,0.39,0.312,0.242,0.396,0.24,0.268,0.262,0.272
8,0.504,0.398,0.228,0.38,0.164,0.17,0.322,0.238,0.238,0.224,0.232,0.28,0.318,0.13,0.198,0.242,0.176,0.202,0.292,0.224
9,0.672,0.172,0.208,0.208,0.208,0.23,0.286,0.214,0.302,0.23,0.204,0.348,0.134,0.16,0.23,0.202,0.154,0.116,0.246,0.476
