,0,1
0,"[0.258, 0.324, 0.328, 0.238, 0.266, 0.45, 0.24, 0.234, 0.284, 0.288, 0.304, 0.216, 0.304, 0.324, 0.254, 0.372, 0.276, 0.23, 0.282, 0.264]","[0.21, 0.224, 0.194, 0.204, 0.202, 0.076, 0.088, 0.196, 0.26, 0.214, 0.198, 0.192, 0.246, 0.198, 0.2, 0.202, 0.208, 0.206, 0.194, 0.22]"
1,"[0.256, 0.24, 0.212, 0.294, 0.356, 0.526, 0.356, 0.214, 0.37, 0.322, 0.272, 0.28, 0.254, 0.35, 0.274, 0.234, 0.332, 0.204, 0.218, 0.176]",
2,"[0.34, 0.238, 0.254, 0.258, 0.306, 0.338, 0.238, 0.204, 0.316, 0.212, 0.262, 0.244, 0.232, 0.226, 0.204, 0.384, 0.24, 0.246, 0.22, 0.106]",
3,"[0.24, 0.312, 0.244, 0.272, 0.244, 0.41, 0.3, 0.238, 0.276, 0.282, 0.304, 0.216, 0.26, 0.378, 0.356, 0.278, 0.226, 0.236, 0.18, 0.268]",
4,"[0.286, 0.234, 0.228, 0.27, 0.244, 0.302, 0.226, 0.212, 0.268, 0.236, 0.21, 0.224, 0.222, 0.174, 0.2, 0.212, 0.202, 0.246, 0.156, 0.198]",
5,"[0.226, 0.224, 0.208, 0.254, 0.306, 0.412, 0.204, 0.24, 0.248, 0.246, 0.216, 0.212, 0.26, 0.28, 0.252, 0.184, 0.198, 0.208, 0.25, 0.226]",
6,"[0.32, 0.312, 0.242, 0.2, 0.262, 0.32, 0.21, 0.224, 0.29, 0.206, 0.21, 0.198, 0.228, 0.214, 0.19, 0.2, 0.202, 0.224, 0.2, 0.242]",
7,"[0.256, 0.242, 0.202, 0.276, 0.228, 0.442, 0.24, 0.21, 0.32, 0.286, 0.236, 0.218, 0.282, 0.182, 0.098, 0.152, 0.202, 0.184, 0.18, 0.1]",
8,"[0.222, 0.212, 0.222, 0.198, 0.2, 0.216, 0.196, 0.202, 0.198, 0.198, 0.192, 0.194, 0.17, 0.166, 0.162, 0.202, 0.164, 0.218, 0.202, 0.12]",
9,"[0.198, 0.27, 0.264, 0.194, 0.28, 0.402, 0.152, 0.234, 0.264, 0.242, 0.208, 0.21, 0.284, 0.15, 0.212, 0.192, 0.21, 0.27, 0.244, 0.154]",
10,"[0.308, 0.376, 0.338, 0.218, 0.272, 0.282, 0.266, 0.238, 0.214, 0.34, 0.25, 0.198, 0.18, 0.18, 0.226, 0.19, 0.202, 0.174, 0.234, 0.202]",
11,"[0.212, 0.274, 0.288, 0.186, 0.184, 0.252, 0.222, 0.192, 0.184, 0.198, 0.094, 0.228, 0.172, 0.23, 0.18, 0.198, 0.252, 0.216, 0.204, 0.21]",
12,"[0.182, 0.37, 0.216, 0.288, 0.304, 0.42, 0.178, 0.306, 0.242, 0.204, 0.158, 0.188, 0.218, 0.15, 0.116, 0.178, 0.202, 0.316, 0.246, 0.134]",
13,"[0.204, 0.248, 0.21, 0.294, 0.252, 0.296, 0.17, 0.228, 0.234, 0.21, 0.162, 0.184, 0.186, 0.174, 0.162, 0.196, 0.186, 0.194, 0.238, 0.12]",
14,"[0.24, 0.264, 0.26, 0.224, 0.224, 0.22, 0.2, 0.212, 0.26, 0.202, 0.208, 0.208, 0.188, 0.214, 0.208, 0.196, 0.202, 0.24, 0.19, 0.07]",
15,"[0.336, 0.27, 0.208, 0.288, 0.4, 0.124, 0.188, 0.198, 0.182, 0.2, 0.24, 0.2, 0.208, 0.2, 0.292, 0.206, 0.2, 0.18, 0.26, 0.264]",
16,"[0.258, 0.292, 0.216, 0.194, 0.2, 0.112, 0.112, 0.2, 0.226, 0.214, 0.25, 0.182, 0.2, 0.188, 0.224, 0.218, 0.2, 0.18, 0.2, 0.202]",
17,"[0.202, 0.202, 0.224, 0.2, 0.2, 0.128, 0.198, 0.224, 0.2, 0.204, 0.2, 0.186, 0.2, 0.234, 0.216, 0.216, 0.2, 0.206, 0.206, 0.28]",
18,"[0.2, 0.206, 0.196, 0.2, 0.2, 0.196, 0.2, 0.206, 0.198, 0.208, 0.2, 0.2, 0.202, 0.206, 0.2, 0.2, 0.2, 0.212, 0.198, 0.264]",
