,0
0,"[0.286, 0.352, 0.362, 0.244, 0.32, 0.526, 0.284, 0.224, 0.33, 0.316, 0.33, 0.23, 0.332, 0.376, 0.302, 0.382, 0.27, 0.25, 0.33, 0.28]"
1,"[0.312, 0.368, 0.38, 0.252, 0.314, 0.562, 0.33, 0.242, 0.376, 0.326, 0.316, 0.246, 0.332, 0.41, 0.35, 0.352, 0.274, 0.254, 0.36, 0.32]"
2,"[0.328, 0.388, 0.374, 0.262, 0.332, 0.586, 0.36, 0.248, 0.408, 0.32, 0.312, 0.278, 0.35, 0.414, 0.38, 0.366, 0.276, 0.28, 0.39, 0.33]"
3,"[0.33, 0.388, 0.396, 0.27, 0.33, 0.582, 0.372, 0.268, 0.402, 0.318, 0.314, 0.292, 0.354, 0.414, 0.382, 0.346, 0.26, 0.324, 0.408, 0.334]"
4,"[0.338, 0.4, 0.402, 0.254, 0.33, 0.574, 0.37, 0.282, 0.402, 0.322, 0.316, 0.306, 0.358, 0.422, 0.386, 0.346, 0.276, 0.33, 0.396, 0.338]"
5,"[0.338, 0.402, 0.368, 0.254, 0.322, 0.578, 0.372, 0.27, 0.382, 0.312, 0.302, 0.306, 0.354, 0.418, 0.398, 0.332, 0.244, 0.348, 0.382, 0.336]"
6,"[0.324, 0.4, 0.344, 0.248, 0.314, 0.57, 0.382, 0.266, 0.376, 0.322, 0.306, 0.292, 0.354, 0.424, 0.4, 0.31, 0.262, 0.352, 0.374, 0.336]"
7,"[0.32, 0.404, 0.352, 0.25, 0.318, 0.566, 0.384, 0.264, 0.38, 0.324, 0.314, 0.302, 0.358, 0.438, 0.394, 0.308, 0.27, 0.362, 0.38, 0.338]"
8,"[0.312, 0.408, 0.344, 0.252, 0.324, 0.564, 0.386, 0.264, 0.384, 0.33, 0.334, 0.302, 0.362, 0.438, 0.396, 0.314, 0.278, 0.364, 0.38, 0.34]"
9,"[0.316, 0.41, 0.344, 0.248, 0.324, 0.56, 0.398, 0.268, 0.376, 0.33, 0.334, 0.298, 0.35, 0.45, 0.4, 0.31, 0.284, 0.37, 0.396, 0.338]"
10,"[0.316, 0.406, 0.344, 0.25, 0.328, 0.554, 0.398, 0.264, 0.376, 0.328, 0.34, 0.298, 0.35, 0.454, 0.394, 0.312, 0.266, 0.368, 0.39, 0.332]"
11,"[0.314, 0.408, 0.342, 0.254, 0.324, 0.564, 0.404, 0.268, 0.384, 0.336, 0.35, 0.298, 0.354, 0.46, 0.39, 0.308, 0.274, 0.368, 0.392, 0.334]"
12,"[0.314, 0.412, 0.348, 0.252, 0.328, 0.564, 0.404, 0.264, 0.382, 0.34, 0.346, 0.3, 0.354, 0.46, 0.392, 0.306, 0.276, 0.366, 0.382, 0.332]"
13,"[0.316, 0.412, 0.348, 0.254, 0.328, 0.558, 0.404, 0.256, 0.37, 0.346, 0.356, 0.31, 0.348, 0.46, 0.39, 0.306, 0.268, 0.38, 0.368, 0.336]"
14,"[0.32, 0.44, 0.348, 0.248, 0.296, 0.538, 0.374, 0.228, 0.346, 0.338, 0.344, 0.32, 0.368, 0.47, 0.412, 0.32, 0.26, 0.394, 0.364, 0.328]"
15,"[0.322, 0.44, 0.358, 0.24, 0.306, 0.538, 0.376, 0.234, 0.338, 0.338, 0.348, 0.318, 0.37, 0.474, 0.412, 0.32, 0.262, 0.398, 0.368, 0.326]"
16,"[0.324, 0.436, 0.348, 0.246, 0.304, 0.536, 0.382, 0.236, 0.346, 0.338, 0.35, 0.316, 0.368, 0.478, 0.418, 0.322, 0.262, 0.4, 0.368, 0.326]"
17,"[0.322, 0.44, 0.352, 0.24, 0.308, 0.536, 0.384, 0.23, 0.35, 0.336, 0.364, 0.322, 0.366, 0.474, 0.418, 0.322, 0.266, 0.4, 0.376, 0.326]"
18,"[0.326, 0.434, 0.352, 0.244, 0.314, 0.536, 0.39, 0.24, 0.344, 0.336, 0.35, 0.318, 0.368, 0.472, 0.42, 0.32, 0.264, 0.398, 0.374, 0.328]"
