,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.586,0.418,0.598,0.596,0.518,0.538,0.506,0.592,0.606,0.52,0.706,0.546,0.632,0.468,0.534,0.506,0.492,0.596,0.572,0.53
1,0.646,0.278,0.766,0.576,0.588,0.512,0.524,0.68,0.618,0.544,0.506,0.612,0.588,0.622,0.568,0.552,0.496,0.678,0.564,0.198
2,0.692,0.378,0.766,0.63,0.616,0.644,0.562,0.694,0.748,0.606,0.702,0.708,0.734,0.652,0.586,0.492,0.506,0.756,0.18,0.2
3,0.49,0.294,0.658,0.49,0.396,0.324,0.32,0.342,0.472,0.394,0.384,0.504,0.352,0.328,0.4,0.248,0.378,0.192,0.226,0.2
4,0.658,0.394,0.696,0.596,0.528,0.61,0.514,0.654,0.67,0.504,0.672,0.59,0.76,0.622,0.564,0.608,0.182,0.216,0.204,0.2
5,0.646,0.39,0.712,0.592,0.558,0.612,0.538,0.642,0.688,0.556,0.654,0.646,0.688,0.62,0.582,0.198,0.214,0.224,0.158,0.222
6,0.484,0.242,0.434,0.354,0.474,0.366,0.334,0.432,0.448,0.348,0.48,0.458,0.562,0.444,0.2,0.164,0.192,0.188,0.192,0.192
7,0.664,0.376,0.618,0.588,0.544,0.556,0.504,0.668,0.656,0.514,0.672,0.612,0.762,0.146,0.174,0.172,0.194,0.144,0.15,0.192
8,0.656,0.378,0.708,0.654,0.546,0.65,0.55,0.686,0.73,0.548,0.642,0.73,0.198,0.124,0.174,0.172,0.14,0.208,0.152,0.2
9,0.674,0.44,0.668,0.632,0.592,0.624,0.548,0.678,0.728,0.566,0.772,0.246,0.164,0.096,0.138,0.202,0.222,0.15,0.172,0.202
10,0.49,0.334,0.594,0.418,0.384,0.434,0.41,0.492,0.432,0.328,0.26,0.256,0.282,0.158,0.17,0.222,0.226,0.17,0.236,0.192
11,0.66,0.338,0.632,0.504,0.516,0.616,0.508,0.616,0.69,0.204,0.152,0.222,0.264,0.194,0.174,0.196,0.164,0.228,0.198,0.204
12,0.632,0.35,0.636,0.524,0.57,0.568,0.534,0.662,0.34,0.218,0.148,0.226,0.19,0.154,0.174,0.136,0.194,0.248,0.212,0.2
13,0.606,0.358,0.646,0.6,0.562,0.6,0.562,0.218,0.274,0.18,0.126,0.244,0.228,0.15,0.15,0.188,0.202,0.242,0.186,0.206
14,0.462,0.276,0.668,0.45,0.462,0.518,0.226,0.268,0.236,0.18,0.342,0.282,0.224,0.188,0.12,0.16,0.172,0.176,0.162,0.208
15,0.636,0.354,0.664,0.62,0.57,0.236,0.236,0.206,0.288,0.202,0.17,0.256,0.118,0.146,0.16,0.206,0.198,0.244,0.21,0.2
16,0.616,0.314,0.714,0.612,0.178,0.238,0.272,0.256,0.324,0.246,0.136,0.274,0.158,0.19,0.128,0.168,0.18,0.296,0.212,0.2
17,0.578,0.334,0.71,0.1,0.246,0.204,0.196,0.232,0.222,0.272,0.31,0.24,0.224,0.126,0.198,0.178,0.118,0.254,0.222,0.2
18,0.638,0.418,0.212,0.16,0.16,0.156,0.222,0.246,0.162,0.19,0.148,0.25,0.206,0.162,0.206,0.162,0.184,0.144,0.176,0.202
19,0.36,0.192,0.196,0.152,0.196,0.222,0.296,0.234,0.146,0.174,0.174,0.318,0.204,0.182,0.182,0.198,0.208,0.196,0.254,0.2
