,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.728,0.182,0.178,0.186,0.2,0.192,0.166,0.282,0.196,0.202,0.274,0.13,0.212,0.128,0.164,0.106,0.208,0.212,0.188,0.206
1,0.596,0.636,0.162,0.192,0.2,0.188,0.124,0.21,0.21,0.238,0.236,0.192,0.27,0.164,0.182,0.226,0.248,0.22,0.202,0.206
2,0.534,0.466,0.662,0.188,0.194,0.196,0.176,0.202,0.178,0.252,0.252,0.142,0.226,0.166,0.228,0.186,0.24,0.312,0.246,0.2
3,0.642,0.458,0.516,0.714,0.188,0.15,0.178,0.228,0.218,0.244,0.21,0.292,0.162,0.184,0.178,0.264,0.228,0.258,0.222,0.206
4,0.534,0.47,0.448,0.472,0.606,0.182,0.132,0.134,0.202,0.19,0.218,0.166,0.196,0.154,0.146,0.254,0.154,0.17,0.226,0.2
5,0.624,0.368,0.462,0.558,0.514,0.798,0.132,0.058,0.186,0.282,0.25,0.194,0.194,0.21,0.156,0.258,0.24,0.274,0.174,0.208
6,0.65,0.372,0.466,0.6,0.49,0.718,0.722,0.136,0.14,0.224,0.232,0.232,0.16,0.194,0.192,0.276,0.246,0.378,0.196,0.204
7,0.646,0.424,0.472,0.568,0.464,0.662,0.598,0.838,0.164,0.222,0.244,0.22,0.214,0.232,0.12,0.274,0.26,0.314,0.208,0.196
8,0.596,0.44,0.476,0.52,0.416,0.552,0.516,0.634,0.798,0.214,0.246,0.186,0.214,0.172,0.168,0.258,0.236,0.322,0.224,0.188
9,0.658,0.446,0.496,0.6,0.444,0.656,0.57,0.708,0.714,0.836,0.276,0.244,0.204,0.17,0.182,0.274,0.296,0.338,0.226,0.204
10,0.606,0.438,0.47,0.572,0.422,0.616,0.494,0.64,0.682,0.744,0.696,0.212,0.21,0.134,0.136,0.224,0.176,0.312,0.208,0.21
11,0.66,0.49,0.466,0.582,0.456,0.532,0.452,0.584,0.652,0.74,0.6,0.854,0.192,0.15,0.174,0.274,0.202,0.272,0.244,0.19
12,0.666,0.468,0.468,0.562,0.458,0.6,0.52,0.674,0.64,0.768,0.612,0.788,0.848,0.144,0.198,0.166,0.248,0.258,0.236,0.196
13,0.624,0.45,0.436,0.536,0.454,0.62,0.516,0.624,0.622,0.74,0.546,0.712,0.79,0.846,0.16,0.078,0.258,0.244,0.214,0.188
14,0.576,0.45,0.468,0.56,0.438,0.548,0.504,0.586,0.568,0.708,0.582,0.698,0.694,0.764,0.666,0.076,0.252,0.276,0.214,0.186
15,0.706,0.446,0.492,0.584,0.416,0.614,0.52,0.646,0.594,0.746,0.56,0.738,0.722,0.792,0.694,0.896,0.234,0.316,0.214,0.188
16,0.614,0.462,0.468,0.594,0.388,0.626,0.458,0.572,0.66,0.662,0.534,0.704,0.706,0.738,0.59,0.792,0.782,0.318,0.17,0.188
17,0.666,0.452,0.482,0.57,0.424,0.59,0.518,0.682,0.654,0.736,0.574,0.674,0.706,0.782,0.668,0.814,0.754,0.872,0.196,0.184
18,0.614,0.446,0.5,0.542,0.362,0.582,0.52,0.602,0.642,0.756,0.53,0.638,0.702,0.786,0.656,0.802,0.67,0.81,0.758,0.2
19,0.636,0.494,0.532,0.578,0.404,0.648,0.446,0.66,0.634,0.71,0.55,0.65,0.656,0.736,0.588,0.766,0.664,0.764,0.668,0.682
20,0.616,0.498,0.524,0.578,0.408,0.622,0.478,0.612,0.62,0.716,0.538,0.652,0.618,0.71,0.632,0.754,0.67,0.76,0.28,0.68
21,0.63,0.512,0.532,0.596,0.41,0.628,0.496,0.638,0.59,0.718,0.552,0.65,0.618,0.71,0.61,0.754,0.664,0.33,0.292,0.68
22,0.64,0.488,0.516,0.566,0.394,0.624,0.48,0.634,0.61,0.726,0.57,0.646,0.648,0.712,0.598,0.758,0.256,0.34,0.3,0.678
23,0.64,0.464,0.516,0.58,0.4,0.624,0.494,0.638,0.59,0.704,0.558,0.642,0.61,0.702,0.6,0.32,0.242,0.326,0.282,0.678
24,0.638,0.5,0.514,0.578,0.384,0.64,0.456,0.668,0.658,0.71,0.574,0.652,0.654,0.27,0.6,0.296,0.25,0.292,0.284,0.68
25,0.652,0.478,0.518,0.586,0.384,0.636,0.484,0.624,0.64,0.718,0.56,0.654,0.248,0.272,0.61,0.262,0.256,0.308,0.316,0.69
26,0.64,0.488,0.528,0.582,0.394,0.616,0.51,0.608,0.61,0.706,0.552,0.25,0.246,0.276,0.62,0.262,0.234,0.288,0.272,0.682
27,0.656,0.488,0.53,0.574,0.406,0.644,0.476,0.676,0.61,0.716,0.236,0.258,0.276,0.268,0.594,0.324,0.254,0.332,0.298,0.69
28,0.64,0.488,0.516,0.59,0.396,0.64,0.496,0.598,0.274,0.728,0.246,0.258,0.25,0.284,0.62,0.26,0.242,0.292,0.296,0.68
29,0.66,0.488,0.506,0.574,0.398,0.626,0.488,0.22,0.25,0.724,0.244,0.256,0.25,0.268,0.612,0.298,0.254,0.348,0.306,0.676
30,0.64,0.506,0.512,0.584,0.404,0.63,0.244,0.224,0.266,0.72,0.234,0.264,0.256,0.284,0.618,0.304,0.24,0.302,0.272,0.684
31,0.65,0.476,0.518,0.588,0.388,0.25,0.254,0.222,0.264,0.728,0.242,0.26,0.246,0.282,0.628,0.264,0.242,0.294,0.302,0.686
32,0.632,0.458,0.52,0.322,0.402,0.292,0.25,0.216,0.224,0.71,0.232,0.256,0.262,0.276,0.622,0.316,0.226,0.318,0.274,0.684
33,0.2,0.14,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.172
34,0.2,0.14,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.182
35,0.764,0.202,0.25,0.24,0.2,0.208,0.084,0.26,0.232,0.2,0.228,0.186,0.172,0.178,0.136,0.308,0.278,0.278,0.17,0.176
36,0.6,0.674,0.202,0.23,0.242,0.21,0.142,0.318,0.25,0.2,0.238,0.158,0.188,0.184,0.238,0.198,0.25,0.128,0.174,0.2
37,0.498,0.604,0.63,0.232,0.152,0.2,0.162,0.2,0.144,0.2,0.284,0.162,0.192,0.178,0.182,0.118,0.258,0.126,0.204,0.204
38,0.408,0.54,0.522,0.616,0.232,0.198,0.18,0.25,0.21,0.198,0.244,0.186,0.208,0.208,0.23,0.19,0.238,0.188,0.214,0.196
39,0.566,0.638,0.512,0.6,0.762,0.194,0.118,0.256,0.202,0.192,0.23,0.272,0.226,0.184,0.176,0.178,0.206,0.156,0.196,0.196
40,0.544,0.604,0.484,0.546,0.582,0.834,0.112,0.206,0.202,0.224,0.27,0.252,0.232,0.154,0.246,0.188,0.224,0.174,0.274,0.198
41,0.564,0.64,0.436,0.582,0.63,0.67,0.758,0.31,0.226,0.2,0.224,0.214,0.204,0.182,0.23,0.202,0.232,0.166,0.214,0.192
42,0.536,0.628,0.39,0.532,0.512,0.658,0.69,0.688,0.258,0.194,0.2,0.262,0.212,0.176,0.226,0.228,0.236,0.19,0.188,0.18
43,0.552,0.632,0.402,0.52,0.514,0.64,0.692,0.616,0.68,0.192,0.208,0.196,0.188,0.17,0.252,0.208,0.276,0.118,0.168,0.174
44,0.6,0.62,0.4,0.526,0.52,0.59,0.646,0.526,0.564,0.788,0.21,0.178,0.22,0.176,0.212,0.186,0.274,0.152,0.152,0.192
45,0.596,0.658,0.384,0.56,0.57,0.712,0.682,0.61,0.63,0.626,0.804,0.256,0.146,0.2,0.282,0.202,0.26,0.192,0.152,0.196
46,0.582,0.666,0.436,0.508,0.574,0.664,0.686,0.608,0.6,0.634,0.738,0.846,0.124,0.192,0.244,0.158,0.204,0.152,0.222,0.18
47,0.59,0.646,0.448,0.526,0.58,0.686,0.7,0.6,0.588,0.616,0.744,0.814,0.91,0.194,0.23,0.142,0.24,0.232,0.182,0.178
48,0.58,0.672,0.41,0.474,0.538,0.662,0.65,0.548,0.52,0.506,0.694,0.75,0.776,0.728,0.238,0.162,0.226,0.208,0.176,0.2
49,0.56,0.648,0.43,0.488,0.446,0.664,0.678,0.508,0.528,0.446,0.638,0.726,0.708,0.616,0.554,0.178,0.228,0.232,0.188,0.2
50,0.568,0.65,0.398,0.486,0.486,0.672,0.652,0.512,0.552,0.468,0.658,0.738,0.702,0.592,0.472,0.658,0.222,0.178,0.196,0.184
51,0.64,0.65,0.432,0.526,0.578,0.69,0.67,0.522,0.538,0.532,0.634,0.712,0.702,0.592,0.482,0.606,0.86,0.272,0.178,0.218
52,0.588,0.624,0.444,0.55,0.564,0.554,0.654,0.486,0.554,0.482,0.614,0.688,0.704,0.572,0.474,0.582,0.726,0.79,0.18,0.2
53,0.614,0.63,0.47,0.546,0.608,0.644,0.72,0.526,0.598,0.48,0.63,0.716,0.712,0.618,0.488,0.57,0.77,0.722,0.836,0.188
54,0.576,0.628,0.494,0.554,0.546,0.632,0.624,0.546,0.556,0.56,0.626,0.74,0.702,0.616,0.486,0.562,0.724,0.716,0.762,0.722
55,0.582,0.63,0.476,0.55,0.548,0.618,0.604,0.52,0.518,0.51,0.642,0.752,0.712,0.62,0.502,0.56,0.722,0.692,0.242,0.72
56,0.574,0.628,0.484,0.564,0.55,0.628,0.61,0.54,0.55,0.552,0.628,0.75,0.694,0.62,0.484,0.562,0.728,0.238,0.252,0.73
57,0.588,0.618,0.45,0.554,0.562,0.616,0.62,0.562,0.526,0.516,0.642,0.75,0.718,0.606,0.492,0.552,0.288,0.248,0.242,0.72
58,0.582,0.616,0.46,0.562,0.56,0.606,0.62,0.536,0.538,0.554,0.634,0.744,0.712,0.584,0.502,0.272,0.296,0.242,0.242,0.744
59,0.586,0.608,0.442,0.536,0.578,0.598,0.608,0.552,0.508,0.522,0.636,0.764,0.73,0.312,0.51,0.262,0.288,0.23,0.228,0.748
60,0.57,0.616,0.464,0.562,0.552,0.626,0.624,0.542,0.554,0.554,0.628,0.742,0.27,0.34,0.494,0.274,0.31,0.256,0.246,0.732
61,0.586,0.598,0.468,0.548,0.526,0.61,0.612,0.572,0.548,0.586,0.596,0.426,0.262,0.386,0.474,0.29,0.318,0.26,0.25,0.732
62,0.198,0.2,0.2,0.214,0.2,0.236,0.252,0.202,0.198,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.174
63,0.208,0.2,0.2,0.216,0.2,0.238,0.252,0.202,0.192,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19
64,0.206,0.2,0.2,0.216,0.2,0.246,0.24,0.202,0.188,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.196
65,0.206,0.2,0.2,0.21,0.2,0.254,0.236,0.2,0.186,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.184
66,0.206,0.2,0.2,0.21,0.2,0.264,0.244,0.198,0.182,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.182
67,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
68,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
69,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
70,0.582,0.198,0.24,0.076,0.196,0.22,0.202,0.232,0.17,0.196,0.188,0.186,0.2,0.214,0.222,0.226,0.256,0.224,0.202,0.19
71,0.414,0.714,0.328,0.144,0.196,0.204,0.142,0.176,0.228,0.194,0.168,0.282,0.204,0.208,0.306,0.19,0.292,0.254,0.206,0.208
72,0.45,0.674,0.858,0.176,0.198,0.18,0.136,0.206,0.258,0.216,0.134,0.186,0.198,0.182,0.2,0.168,0.248,0.202,0.206,0.186
73,0.442,0.528,0.69,0.712,0.184,0.228,0.136,0.23,0.216,0.212,0.17,0.24,0.2,0.202,0.174,0.198,0.216,0.166,0.214,0.202
74,0.406,0.55,0.678,0.554,0.698,0.164,0.172,0.224,0.218,0.216,0.172,0.236,0.2,0.208,0.198,0.142,0.15,0.216,0.17,0.196
75,0.45,0.58,0.616,0.52,0.674,0.772,0.128,0.216,0.16,0.224,0.198,0.286,0.212,0.222,0.188,0.192,0.182,0.226,0.172,0.19
76,0.408,0.562,0.64,0.566,0.646,0.694,0.756,0.296,0.168,0.218,0.144,0.272,0.196,0.216,0.166,0.14,0.274,0.23,0.206,0.206
77,0.452,0.516,0.538,0.546,0.572,0.598,0.606,0.724,0.196,0.196,0.05,0.374,0.194,0.226,0.17,0.166,0.242,0.228,0.194,0.216
78,0.456,0.554,0.65,0.604,0.632,0.586,0.612,0.686,0.82,0.2,0.076,0.238,0.196,0.218,0.144,0.138,0.266,0.228,0.21,0.202
79,0.48,0.446,0.586,0.528,0.534,0.57,0.54,0.552,0.646,0.558,0.12,0.224,0.186,0.2,0.078,0.184,0.184,0.218,0.202,0.21
