,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.61,0.2148,0.2028,0.1544,0.2328,0.1828,0.2444,0.2184,0.2336,0.1892,0.2772,0.2688,0.1652,0.1428,0.1868,0.2704,0.2108,0.2436,0.154,0.1964
1,0.5592,0.694,0.1928,0.1968,0.1716,0.2532,0.2088,0.1996,0.1996,0.1924,0.2352,0.2384,0.2388,0.1684,0.2108,0.2624,0.1748,0.2052,0.2004,0.1896
2,0.596,0.6048,0.7012,0.2296,0.2052,0.1844,0.1876,0.2092,0.3008,0.2076,0.2092,0.3388,0.2692,0.2312,0.1832,0.2764,0.1916,0.2292,0.2152,0.21
3,0.622,0.6136,0.6288,0.822,0.254,0.2596,0.2016,0.2068,0.2504,0.2048,0.2524,0.3128,0.2736,0.224,0.2416,0.2748,0.1912,0.2516,0.1748,0.2156
4,0.6224,0.6152,0.6512,0.8208,0.8796,0.244,0.2528,0.2196,0.23,0.208,0.278,0.2672,0.2768,0.2328,0.234,0.2724,0.2232,0.2368,0.15,0.2168
5,0.5868,0.6076,0.5952,0.784,0.8372,0.9408,0.2484,0.2128,0.3456,0.2056,0.2744,0.1908,0.2428,0.1908,0.2264,0.2892,0.216,0.2636,0.148,0.2148
6,0.5824,0.6008,0.6136,0.7172,0.776,0.8308,0.8932,0.2396,0.2736,0.2008,0.24,0.2392,0.206,0.1712,0.2316,0.2724,0.2068,0.2284,0.1584,0.2036
7,0.5816,0.6028,0.6068,0.7712,0.7876,0.79,0.8596,0.9172,0.294,0.206,0.2528,0.264,0.2148,0.1676,0.2244,0.2272,0.3236,0.286,0.1504,0.2156
8,0.6196,0.6268,0.6324,0.7716,0.778,0.8476,0.81,0.8928,0.9732,0.216,0.2852,0.2968,0.1948,0.2088,0.2136,0.2568,0.3052,0.2564,0.122,0.2292
9,0.5932,0.6032,0.6084,0.7412,0.7472,0.8076,0.7524,0.7616,0.8768,0.898,0.2596,0.2784,0.1588,0.1936,0.2384,0.246,0.338,0.2728,0.1248,0.226
10,0.612,0.5976,0.562,0.7512,0.7256,0.7892,0.7056,0.7472,0.8052,0.83,0.9144,0.2752,0.188,0.1996,0.28,0.2352,0.3552,0.2712,0.1224,0.2248
