,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.61,0.784,0.646,0.692,0.598,0.682,0.654,0.594,0.562,0.59,0.596,0.466,0.648,0.608,0.646,0.694,0.56,0.584,0.736,0.768
1,0.606,0.782,0.65,0.686,0.596,0.686,0.654,0.594,0.57,0.594,0.596,0.47,0.646,0.596,0.646,0.692,0.562,0.574,0.738,0.764
2,0.598,0.788,0.632,0.708,0.6,0.66,0.634,0.592,0.58,0.596,0.596,0.488,0.642,0.606,0.634,0.7,0.578,0.586,0.746,0.736
3,0.564,0.788,0.624,0.65,0.574,0.65,0.614,0.574,0.582,0.604,0.602,0.484,0.666,0.606,0.644,0.68,0.58,0.61,0.686,0.72
4,0.61,0.804,0.628,0.698,0.596,0.678,0.63,0.586,0.61,0.624,0.602,0.482,0.692,0.598,0.648,0.662,0.604,0.614,0.712,0.74
5,0.578,0.776,0.64,0.68,0.61,0.672,0.648,0.584,0.564,0.588,0.598,0.466,0.64,0.592,0.646,0.692,0.544,0.576,0.728,0.76
6,0.582,0.796,0.622,0.67,0.596,0.674,0.608,0.596,0.586,0.598,0.61,0.492,0.654,0.614,0.644,0.672,0.578,0.606,0.7,0.754
7,0.588,0.79,0.636,0.68,0.604,0.68,0.606,0.59,0.598,0.588,0.618,0.484,0.662,0.6,0.632,0.698,0.58,0.594,0.694,0.742
8,0.59,0.8,0.638,0.674,0.606,0.662,0.604,0.58,0.618,0.622,0.606,0.494,0.724,0.594,0.628,0.666,0.59,0.612,0.714,0.718
9,0.616,0.794,0.644,0.69,0.612,0.65,0.594,0.592,0.602,0.598,0.62,0.496,0.664,0.598,0.646,0.656,0.576,0.596,0.724,0.748
10,0.588,0.782,0.642,0.684,0.604,0.66,0.628,0.596,0.582,0.614,0.6,0.47,0.652,0.588,0.64,0.68,0.582,0.586,0.72,0.746
11,0.59,0.792,0.628,0.698,0.594,0.642,0.646,0.586,0.584,0.612,0.586,0.478,0.672,0.592,0.63,0.69,0.59,0.594,0.74,0.724
12,0.612,0.794,0.642,0.696,0.606,0.674,0.628,0.592,0.616,0.608,0.592,0.486,0.662,0.588,0.642,0.684,0.584,0.592,0.74,0.734
13,0.624,0.788,0.636,0.718,0.592,0.704,0.67,0.634,0.588,0.6,0.592,0.47,0.654,0.56,0.654,0.672,0.59,0.58,0.722,0.762
14,0.604,0.778,0.646,0.712,0.616,0.682,0.66,0.602,0.586,0.594,0.588,0.478,0.652,0.59,0.644,0.702,0.544,0.574,0.778,0.77
15,0.632,0.764,0.642,0.732,0.632,0.716,0.636,0.602,0.568,0.578,0.578,0.468,0.634,0.57,0.644,0.684,0.556,0.55,0.758,0.79
16,0.61,0.772,0.632,0.702,0.622,0.698,0.648,0.59,0.576,0.576,0.59,0.478,0.638,0.59,0.654,0.692,0.55,0.562,0.754,0.768
17,0.614,0.774,0.632,0.73,0.632,0.716,0.634,0.618,0.59,0.57,0.598,0.472,0.634,0.568,0.636,0.696,0.544,0.56,0.756,0.776
18,0.636,0.798,0.65,0.726,0.592,0.672,0.642,0.592,0.586,0.612,0.584,0.468,0.69,0.592,0.63,0.684,0.606,0.59,0.726,0.742
19,0.614,0.762,0.608,0.72,0.59,0.67,0.62,0.57,0.6,0.602,0.562,0.49,0.718,0.57,0.592,0.662,0.576,0.594,0.742,0.736
