iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.8551127549474015
21,0.8734944952869137
22,0.882010009682922
23,0.8911344501324999
24,0.9044226394586077
25,0.8796364696253967
26,0.8791819560389668
27,0.8734659769145681
28,0.8988846052060538
29,0.8566569169760001
30,0.8849509200645266
31,0.8827822298913581
32,0.888737217233932
33,0.8755993013544975
34,0.9059647506297362
35,0.860647388198889
36,0.914046493340615
37,0.9272441938222221
38,0.8163391162392204
