,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.55,0.262,0.1992,0.0972,0.2068,0.2272,0.2244,0.256,0.2476,0.2112,0.1704,0.152,0.1636,0.3044,0.0612,0.1908,0.2788,0.2052,0.2352,0.182
1,0.4816,0.7696,0.2032,0.172,0.1908,0.212,0.186,0.1496,0.2536,0.2156,0.1504,0.258,0.1456,0.3068,0.0692,0.186,0.2468,0.2472,0.2736,0.0952
2,0.5516,0.6828,0.7504,0.1344,0.1892,0.2348,0.224,0.1668,0.2604,0.1768,0.17,0.1404,0.192,0.2944,0.0816,0.2024,0.3336,0.228,0.2776,0.2276
3,0.556,0.7388,0.5876,0.8104,0.1864,0.262,0.196,0.1764,0.2828,0.1976,0.1692,0.164,0.1616,0.2428,0.1268,0.0944,0.2552,0.2196,0.2424,0.1752
4,0.4824,0.6348,0.5712,0.6864,0.7024,0.1996,0.1648,0.1752,0.2316,0.1936,0.1744,0.1976,0.206,0.296,0.1592,0.178,0.3144,0.2044,0.1504,0.1732
5,0.556,0.7676,0.6468,0.668,0.604,0.8688,0.2136,0.1588,0.3684,0.2268,0.1768,0.136,0.2204,0.2952,0.0884,0.1244,0.2268,0.1744,0.2276,0.1928
6,0.41,0.5912,0.6564,0.452,0.5604,0.67,0.7304,0.22,0.2764,0.2036,0.1812,0.1336,0.222,0.3212,0.118,0.1396,0.2944,0.1768,0.2288,0.1904
7,0.562,0.7468,0.6788,0.6144,0.5876,0.784,0.8408,0.9492,0.2784,0.1972,0.1876,0.1532,0.2008,0.3224,0.1284,0.0844,0.246,0.2128,0.2088,0.1756
8,0.5628,0.7764,0.6644,0.6544,0.608,0.7832,0.8244,0.8932,0.986,0.2,0.166,0.1744,0.1808,0.2992,0.1624,0.0904,0.2656,0.2084,0.2592,0.1024
9,0.5188,0.638,0.572,0.6652,0.4932,0.6768,0.7112,0.7308,0.7924,0.8548,0.1528,0.2716,0.2068,0.3256,0.1892,0.1256,0.234,0.2272,0.1456,0.1124
10,0.5652,0.7176,0.6052,0.7012,0.5776,0.7064,0.734,0.782,0.8356,0.834,0.986,0.172,0.1604,0.3288,0.1752,0.0688,0.2672,0.2284,0.1756,0.1504
11,0.5584,0.7548,0.6684,0.644,0.5416,0.6968,0.7692,0.8232,0.8488,0.712,0.9168,0.9904,0.1752,0.3448,0.1468,0.0936,0.248,0.2004,0.2136,0.1732
12,0.5572,0.7552,0.6204,0.6376,0.5636,0.6788,0.6804,0.7712,0.8,0.6728,0.8332,0.8652,0.972,0.3488,0.1012,0.1212,0.2364,0.2236,0.1932,0.2052
13,0.5908,0.7552,0.6508,0.6676,0.5692,0.6696,0.72,0.7584,0.7928,0.6988,0.8548,0.8388,0.9204,0.9976,0.0928,0.0804,0.2468,0.2092,0.218,0.17
14,0.5888,0.7668,0.6204,0.678,0.5352,0.6572,0.7352,0.7704,0.808,0.7076,0.8264,0.834,0.876,0.9548,0.9984,0.0924,0.3044,0.2104,0.2056,0.1548
15,0.5844,0.7528,0.6336,0.6536,0.5236,0.6132,0.692,0.7616,0.7592,0.7016,0.7924,0.8312,0.8308,0.9104,0.946,0.98,0.2776,0.2,0.2096,0.18
16,0.5884,0.7592,0.6608,0.65,0.5228,0.6636,0.7264,0.76,0.8168,0.6616,0.7776,0.8092,0.8212,0.8848,0.9072,0.9468,1.0,0.2024,0.2352,0.1812
17,0.5748,0.7296,0.618,0.6532,0.5312,0.6196,0.694,0.7292,0.8148,0.6428,0.754,0.7816,0.7528,0.8456,0.8944,0.9072,0.9616,0.99,0.2452,0.1944
18,0.5908,0.7476,0.6332,0.6496,0.5212,0.6296,0.7,0.7076,0.792,0.6484,0.7384,0.7776,0.7432,0.8132,0.8572,0.8764,0.902,0.9148,0.9888,0.1708
19,0.5884,0.7332,0.6732,0.6256,0.5152,0.6168,0.7116,0.7408,0.762,0.6024,0.7512,0.8032,0.7484,0.804,0.816,0.87,0.902,0.8764,0.944,0.9996
20,0.588,0.7328,0.6388,0.6352,0.5104,0.5864,0.694,0.7052,0.7536,0.6324,0.7304,0.7764,0.734,0.8136,0.8028,0.8484,0.8644,0.838,0.934,0.6268
21,0.5732,0.7328,0.6384,0.6288,0.5112,0.62,0.684,0.6724,0.7652,0.5832,0.7048,0.748,0.7508,0.7784,0.8116,0.8432,0.8712,0.8564,0.6812,0.6196
22,0.5612,0.7508,0.6164,0.6432,0.5032,0.6024,0.6688,0.6988,0.7876,0.5888,0.716,0.7708,0.748,0.772,0.8032,0.8488,0.8644,0.6628,0.6836,0.5816
23,0.532,0.7148,0.6296,0.598,0.4952,0.6012,0.676,0.7252,0.7084,0.5616,0.6928,0.7512,0.694,0.748,0.78,0.8236,0.39,0.6304,0.5996,0.4852
24,0.528,0.7024,0.5644,0.6236,0.4688,0.5716,0.6668,0.6792,0.6956,0.5996,0.7084,0.7324,0.6852,0.7484,0.7832,0.2352,0.3876,0.6636,0.6192,0.5176
25,0.4992,0.6964,0.5996,0.5928,0.482,0.5812,0.6596,0.6968,0.7284,0.5396,0.662,0.7448,0.6612,0.706,0.6032,0.234,0.3896,0.6536,0.628,0.4536
26,0.5144,0.6612,0.5484,0.6272,0.486,0.5544,0.6316,0.5896,0.6612,0.6252,0.6656,0.6636,0.6336,0.52,0.594,0.216,0.3816,0.5792,0.594,0.434
27,0.508,0.6408,0.5788,0.5768,0.466,0.5532,0.6404,0.6264,0.654,0.5592,0.6416,0.692,0.4264,0.4988,0.5704,0.2048,0.3776,0.5704,0.5812,0.416
28,0.4764,0.6568,0.558,0.5516,0.4784,0.5456,0.64,0.6376,0.6564,0.5216,0.6264,0.3964,0.4268,0.4908,0.5796,0.206,0.372,0.5316,0.5336,0.3024
29,0.46,0.6252,0.5348,0.5472,0.468,0.5204,0.6036,0.6188,0.662,0.5264,0.4324,0.4036,0.406,0.4528,0.5824,0.2084,0.37,0.5496,0.574,0.3392
30,0.4472,0.5952,0.4824,0.5264,0.4604,0.5008,0.5692,0.5364,0.6008,0.4136,0.388,0.4188,0.386,0.4412,0.5576,0.2,0.338,0.5036,0.478,0.3492
31,0.4368,0.6028,0.5184,0.5044,0.4432,0.52,0.5796,0.6012,0.4204,0.3868,0.4456,0.3996,0.3884,0.4232,0.5332,0.204,0.3528,0.488,0.494,0.3108
32,0.4396,0.5684,0.4944,0.4604,0.4256,0.498,0.5564,0.3996,0.3932,0.36,0.4348,0.3508,0.362,0.3824,0.4704,0.2056,0.3384,0.4216,0.4584,0.2676
33,0.4424,0.5708,0.478,0.4832,0.4108,0.4744,0.3628,0.3736,0.3968,0.3888,0.406,0.3648,0.3636,0.3872,0.4956,0.2056,0.3372,0.4212,0.4184,0.2496
34,0.4224,0.566,0.4932,0.4548,0.4128,0.3812,0.3636,0.3976,0.3808,0.3476,0.4128,0.3648,0.342,0.3836,0.4764,0.2076,0.3392,0.4212,0.4128,0.2484
35,0.4272,0.5744,0.4972,0.4504,0.3412,0.3688,0.3824,0.3936,0.3692,0.3768,0.3944,0.3864,0.3496,0.3992,0.4632,0.202,0.344,0.4132,0.3972,0.2584
36,0.43,0.5476,0.4712,0.378,0.3004,0.3048,0.3268,0.3172,0.3608,0.3216,0.34,0.3576,0.322,0.3672,0.4744,0.2016,0.3396,0.3916,0.3736,0.2412
37,0.3612,0.478,0.3264,0.3264,0.2816,0.306,0.3096,0.2192,0.2808,0.3176,0.3412,0.2536,0.3248,0.3312,0.3964,0.2008,0.3052,0.3404,0.324,0.2128
38,0.3724,0.2988,0.29,0.2308,0.2656,0.2636,0.2452,0.1968,0.264,0.2476,0.258,0.2348,0.2568,0.2808,0.3412,0.2004,0.2708,0.3312,0.3136,0.2148
