,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.408,0.14,0.122,0.198,0.214,0.076,0.202,0.254,0.14,0.206,0.164,0.186,0.194,0.166,0.102,0.216,0.2,0.18,0.2,0.214
1,0.46,0.634,0.212,0.202,0.16,0.144,0.19,0.248,0.236,0.21,0.17,0.18,0.198,0.134,0.19,0.256,0.246,0.22,0.208,0.25
2,0.374,0.476,0.534,0.192,0.188,0.066,0.116,0.25,0.21,0.196,0.22,0.294,0.184,0.134,0.218,0.162,0.192,0.238,0.244,0.22
3,0.478,0.626,0.592,0.578,0.24,0.126,0.198,0.212,0.166,0.192,0.294,0.214,0.192,0.118,0.146,0.228,0.214,0.226,0.22,0.226
4,0.508,0.656,0.648,0.586,0.73,0.08,0.266,0.212,0.16,0.182,0.252,0.266,0.2,0.206,0.09,0.316,0.214,0.222,0.206,0.238
5,0.534,0.646,0.648,0.574,0.676,0.644,0.248,0.258,0.172,0.186,0.192,0.304,0.188,0.174,0.242,0.278,0.204,0.196,0.254,0.2
6,0.572,0.658,0.674,0.62,0.702,0.664,0.834,0.246,0.152,0.172,0.218,0.3,0.162,0.188,0.244,0.288,0.208,0.21,0.206,0.22
7,0.404,0.47,0.586,0.502,0.644,0.548,0.704,0.69,0.156,0.216,0.192,0.242,0.214,0.208,0.164,0.23,0.224,0.216,0.148,0.252
8,0.562,0.624,0.65,0.612,0.756,0.69,0.782,0.726,0.836,0.176,0.196,0.272,0.168,0.13,0.272,0.194,0.218,0.222,0.21,0.22
9,0.51,0.55,0.566,0.59,0.692,0.604,0.708,0.72,0.746,0.638,0.182,0.264,0.162,0.262,0.256,0.212,0.22,0.148,0.126,0.268
10,0.562,0.618,0.656,0.622,0.728,0.662,0.736,0.692,0.756,0.64,0.76,0.248,0.164,0.222,0.322,0.192,0.188,0.176,0.128,0.24
11,0.546,0.656,0.62,0.64,0.712,0.668,0.738,0.7,0.78,0.662,0.672,0.798,0.178,0.168,0.314,0.278,0.182,0.198,0.178,0.222
12,0.582,0.588,0.676,0.616,0.684,0.664,0.746,0.634,0.714,0.654,0.65,0.722,0.808,0.264,0.318,0.246,0.188,0.196,0.172,0.242
13,0.53,0.586,0.592,0.604,0.686,0.638,0.772,0.696,0.726,0.668,0.674,0.804,0.762,0.564,0.332,0.24,0.196,0.214,0.18,0.216
14,0.518,0.58,0.626,0.586,0.706,0.618,0.7,0.636,0.732,0.648,0.634,0.684,0.786,0.552,0.73,0.232,0.194,0.192,0.174,0.21
15,0.458,0.53,0.546,0.59,0.584,0.554,0.78,0.65,0.762,0.536,0.636,0.674,0.752,0.556,0.688,0.66,0.222,0.256,0.15,0.196
16,0.484,0.472,0.41,0.514,0.468,0.526,0.458,0.46,0.588,0.506,0.54,0.498,0.508,0.444,0.472,0.42,0.46,0.176,0.2,0.188
17,0.522,0.51,0.488,0.556,0.602,0.54,0.702,0.624,0.716,0.622,0.55,0.678,0.632,0.526,0.588,0.63,0.644,0.574,0.198,0.184
18,0.566,0.594,0.598,0.568,0.694,0.656,0.722,0.602,0.742,0.602,0.626,0.684,0.744,0.546,0.636,0.678,0.646,0.698,0.566,0.224
19,0.514,0.594,0.57,0.596,0.656,0.61,0.702,0.64,0.72,0.586,0.646,0.686,0.734,0.43,0.642,0.63,0.622,0.642,0.562,0.66
20,0.592,0.636,0.636,0.638,0.7,0.662,0.724,0.66,0.766,0.652,0.662,0.716,0.762,0.488,0.652,0.69,0.674,0.674,0.59,0.2
21,0.584,0.608,0.636,0.618,0.7,0.654,0.73,0.66,0.754,0.652,0.652,0.704,0.754,0.496,0.652,0.69,0.686,0.682,0.216,0.2
22,0.568,0.628,0.648,0.638,0.706,0.652,0.728,0.664,0.774,0.644,0.65,0.7,0.754,0.492,0.65,0.694,0.688,0.214,0.226,0.2
23,0.568,0.608,0.636,0.632,0.708,0.646,0.736,0.672,0.772,0.672,0.668,0.712,0.76,0.478,0.652,0.682,0.214,0.212,0.228,0.2
24,0.556,0.61,0.608,0.626,0.686,0.63,0.75,0.684,0.756,0.654,0.646,0.714,0.76,0.492,0.646,0.504,0.21,0.204,0.224,0.2
25,0.56,0.596,0.624,0.624,0.686,0.65,0.734,0.666,0.75,0.662,0.654,0.728,0.762,0.474,0.59,0.516,0.212,0.208,0.22,0.2
26,0.556,0.622,0.588,0.61,0.688,0.652,0.738,0.684,0.766,0.662,0.66,0.748,0.75,0.392,0.604,0.522,0.202,0.21,0.21,0.2
27,0.556,0.588,0.608,0.61,0.696,0.652,0.75,0.684,0.766,0.662,0.634,0.71,0.2,0.35,0.572,0.532,0.204,0.206,0.224,0.2
