,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.4296,0.1672,0.1276,0.2052,0.2168,0.0764,0.2008,0.2344,0.126,0.2064,0.1568,0.1796,0.196,0.1584,0.1128,0.2196,0.1988,0.2076,0.2048,0.222
1,0.484,0.6268,0.206,0.2056,0.1872,0.1368,0.1904,0.2524,0.2344,0.21,0.1744,0.1828,0.1928,0.1468,0.172,0.2304,0.2392,0.2148,0.2076,0.2436
2,0.4152,0.5076,0.5312,0.1832,0.168,0.0656,0.092,0.2548,0.1936,0.1992,0.2316,0.2948,0.1796,0.13,0.2064,0.1788,0.1988,0.2248,0.21,0.238
3,0.4924,0.6364,0.6364,0.6548,0.2432,0.1236,0.1924,0.1968,0.158,0.1996,0.3048,0.2128,0.1944,0.1216,0.1552,0.2376,0.2084,0.2348,0.2096,0.214
4,0.5496,0.6792,0.664,0.6428,0.8044,0.0884,0.27,0.2216,0.1536,0.1892,0.2692,0.2616,0.1972,0.1732,0.1032,0.312,0.2356,0.2,0.2108,0.2424
5,0.5528,0.6852,0.6568,0.6328,0.7576,0.7188,0.24,0.2532,0.1652,0.1912,0.2192,0.2912,0.1812,0.1608,0.2108,0.3004,0.2044,0.2064,0.222,0.2012
6,0.5792,0.7012,0.6836,0.688,0.776,0.748,0.866,0.2552,0.1568,0.188,0.2276,0.2912,0.1644,0.1916,0.2316,0.3028,0.2116,0.1728,0.1876,0.2308
7,0.4196,0.5048,0.6024,0.5232,0.6956,0.5936,0.7248,0.7228,0.164,0.2156,0.2076,0.2404,0.1852,0.1996,0.1596,0.2548,0.2092,0.212,0.1512,0.2404
8,0.5756,0.7068,0.6936,0.6676,0.8132,0.788,0.8012,0.7668,0.9128,0.1792,0.2016,0.2592,0.1612,0.1636,0.248,0.2156,0.2148,0.1976,0.1912,0.2316
9,0.5456,0.6312,0.6192,0.6084,0.7456,0.6356,0.7036,0.7444,0.812,0.7648,0.196,0.2368,0.166,0.2604,0.2608,0.2352,0.2432,0.138,0.1392,0.2708
10,0.584,0.6848,0.6856,0.6616,0.7728,0.7264,0.7844,0.7384,0.8428,0.78,0.8832,0.2396,0.1676,0.228,0.2764,0.2136,0.1972,0.1576,0.1412,0.262
11,0.586,0.7148,0.6688,0.6952,0.7696,0.7304,0.7828,0.7704,0.838,0.784,0.7452,0.888,0.1652,0.1772,0.292,0.296,0.1968,0.19,0.1904,0.232
12,0.5808,0.6596,0.7008,0.6748,0.7472,0.72,0.7688,0.6788,0.7708,0.7396,0.724,0.7764,0.8864,0.264,0.3084,0.236,0.2044,0.174,0.1784,0.2296
13,0.554,0.6808,0.6536,0.6772,0.7516,0.702,0.8068,0.7628,0.8056,0.7708,0.7512,0.856,0.8268,0.6492,0.3296,0.2356,0.2088,0.2112,0.1708,0.2132
14,0.588,0.6744,0.6588,0.638,0.7224,0.6776,0.7364,0.684,0.7796,0.738,0.7432,0.772,0.8428,0.6704,0.9232,0.2152,0.2052,0.1768,0.164,0.214
15,0.4972,0.6208,0.5984,0.6384,0.6372,0.6296,0.7988,0.7036,0.8024,0.6392,0.7104,0.7436,0.7688,0.6148,0.8488,0.7756,0.2172,0.236,0.1556,0.2024
16,0.4892,0.5252,0.466,0.5252,0.492,0.534,0.4672,0.5044,0.6152,0.5128,0.558,0.4556,0.5328,0.4832,0.4916,0.4764,0.496,0.1812,0.1752,0.1812
17,0.5224,0.5644,0.5148,0.5984,0.6736,0.566,0.7228,0.654,0.7376,0.6556,0.5512,0.6948,0.636,0.5488,0.646,0.68,0.6968,0.6176,0.1704,0.1944
18,0.5852,0.658,0.636,0.608,0.7404,0.6912,0.7524,0.6316,0.7684,0.6524,0.686,0.7368,0.752,0.5632,0.6936,0.736,0.712,0.7708,0.7348,0.2236
19,0.5628,0.6504,0.6028,0.6636,0.6928,0.6648,0.7308,0.6476,0.77,0.6528,0.6812,0.7296,0.762,0.4704,0.712,0.6828,0.686,0.7464,0.7288,0.8132
20,0.6124,0.6988,0.662,0.686,0.7468,0.6876,0.7572,0.6776,0.7976,0.7,0.714,0.7468,0.8032,0.5484,0.726,0.7736,0.7268,0.7772,0.802,0.2
21,0.6084,0.6872,0.6564,0.67,0.746,0.6844,0.768,0.6892,0.7848,0.7068,0.72,0.7304,0.8032,0.5628,0.7256,0.7704,0.7376,0.7576,0.2204,0.2
22,0.5932,0.6936,0.6508,0.6888,0.7524,0.6752,0.754,0.6744,0.8024,0.692,0.7096,0.7492,0.7944,0.5328,0.7336,0.7792,0.7236,0.2256,0.2312,0.2
23,0.59,0.6772,0.6552,0.6788,0.7596,0.674,0.7632,0.7128,0.8072,0.712,0.724,0.7636,0.7968,0.5396,0.736,0.7848,0.2232,0.2204,0.2376,0.2
24,0.5932,0.6712,0.6464,0.6684,0.738,0.664,0.7716,0.7028,0.7968,0.7004,0.71,0.7568,0.8,0.5536,0.7164,0.5636,0.2244,0.2092,0.226,0.2
25,0.5948,0.6828,0.6396,0.67,0.7316,0.6696,0.754,0.6852,0.7776,0.7072,0.7076,0.7504,0.8008,0.5456,0.6528,0.5616,0.2216,0.2168,0.2192,0.2
26,0.5944,0.6868,0.6368,0.6648,0.7384,0.6652,0.7652,0.722,0.7824,0.7004,0.7072,0.7768,0.7892,0.4356,0.6624,0.572,0.212,0.2152,0.2128,0.2
27,0.5712,0.6628,0.6328,0.6676,0.752,0.6688,0.778,0.7156,0.7944,0.7168,0.688,0.7668,0.2,0.38,0.6508,0.5868,0.2108,0.208,0.2236,0.2
28,0.574,0.6748,0.6472,0.6684,0.7196,0.6616,0.766,0.7088,0.7644,0.6968,0.6832,0.5804,0.2,0.4104,0.6428,0.5552,0.2116,0.2116,0.2148,0.2
29,0.588,0.6652,0.6292,0.646,0.7384,0.6568,0.7732,0.704,0.7776,0.6752,0.5392,0.5988,0.2,0.3872,0.6392,0.5708,0.2024,0.2156,0.21,0.2
30,0.582,0.6688,0.6356,0.668,0.7388,0.6564,0.7568,0.6876,0.7792,0.5592,0.5884,0.5796,0.2,0.35,0.6316,0.5664,0.2052,0.2064,0.2116,0.2
31,0.5616,0.6524,0.6256,0.6488,0.7288,0.6624,0.7552,0.688,0.614,0.568,0.598,0.5636,0.2,0.348,0.6212,0.5552,0.2032,0.2112,0.2064,0.2
32,0.5624,0.6516,0.6164,0.6544,0.7196,0.646,0.7508,0.53,0.6388,0.574,0.5768,0.5828,0.2,0.36,0.6152,0.5604,0.2028,0.2108,0.2052,0.2
33,0.5516,0.6664,0.5984,0.6348,0.7236,0.62,0.646,0.534,0.6152,0.5352,0.4876,0.5824,0.2,0.3904,0.604,0.5828,0.2012,0.2104,0.206,0.2
34,0.5676,0.6352,0.6096,0.6388,0.7068,0.5116,0.6324,0.4792,0.596,0.5488,0.554,0.5592,0.2,0.322,0.5772,0.5404,0.2008,0.2068,0.2108,0.2
35,0.5352,0.6432,0.574,0.6452,0.4532,0.5008,0.6204,0.4972,0.5864,0.5436,0.4856,0.5632,0.2,0.334,0.5732,0.5676,0.2,0.2092,0.206,0.2
36,0.514,0.6424,0.56,0.5272,0.41,0.474,0.6228,0.472,0.5576,0.5036,0.4308,0.5628,0.2,0.3344,0.5564,0.5308,0.202,0.202,0.2052,0.2
37,0.524,0.6196,0.482,0.5432,0.4672,0.5012,0.5936,0.4716,0.5296,0.5148,0.4352,0.5328,0.2,0.2948,0.4968,0.5048,0.2,0.2128,0.2048,0.2
38,0.504,0.4188,0.4596,0.4292,0.394,0.412,0.5348,0.4492,0.4664,0.4892,0.3584,0.5364,0.2,0.2812,0.4004,0.4756,0.2008,0.2032,0.2016,0.2
