,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6844,0.2664,0.1748,0.1828,0.1744,0.1576,0.1996,0.228,0.216,0.0752,0.1984,0.0916,0.1904,0.14,0.2024,0.1692,0.1624,0.1568,0.2252,0.1516
1,0.5784,0.7624,0.254,0.1956,0.1972,0.1708,0.2016,0.1896,0.1856,0.2384,0.1836,0.1984,0.166,0.1984,0.1708,0.2332,0.2056,0.1552,0.176,0.2804
2,0.5024,0.6156,0.7484,0.1836,0.172,0.1328,0.204,0.1364,0.2072,0.2216,0.1964,0.1872,0.194,0.2064,0.204,0.2504,0.174,0.1764,0.2152,0.3176
3,0.4808,0.5384,0.538,0.8976,0.1604,0.1512,0.2196,0.1576,0.202,0.2164,0.192,0.2684,0.1844,0.1312,0.1692,0.2532,0.162,0.1292,0.2228,0.2388
4,0.5064,0.6444,0.5276,0.8228,0.9744,0.1996,0.1996,0.2108,0.2212,0.2368,0.19,0.2352,0.2112,0.1884,0.1644,0.2628,0.2356,0.1376,0.234,0.26
5,0.5068,0.5028,0.4448,0.6452,0.8404,0.8456,0.204,0.1528,0.1908,0.2348,0.1912,0.1056,0.1928,0.1568,0.1644,0.2848,0.1836,0.1488,0.2272,0.2124
6,0.4932,0.5564,0.514,0.6104,0.6956,0.7684,0.8708,0.136,0.1988,0.244,0.1848,0.1208,0.1876,0.1696,0.1576,0.2772,0.1704,0.1708,0.1876,0.1864
7,0.492,0.5516,0.5168,0.608,0.6796,0.6716,0.6924,0.952,0.1976,0.2324,0.182,0.128,0.17,0.1456,0.1376,0.224,0.248,0.196,0.2224,0.2008
8,0.4884,0.5168,0.5024,0.6644,0.656,0.5796,0.608,0.7828,0.9424,0.2504,0.1696,0.1388,0.1636,0.0796,0.1084,0.3028,0.2128,0.1632,0.148,0.2096
9,0.4884,0.5604,0.5152,0.65,0.6816,0.6232,0.5896,0.8016,0.846,0.978,0.1792,0.1904,0.1948,0.0996,0.1184,0.226,0.1736,0.1636,0.1828,0.2148
10,0.4548,0.6248,0.4556,0.5556,0.5768,0.6284,0.4932,0.6968,0.6932,0.8052,0.8588,0.2356,0.1856,0.1148,0.1036,0.2696,0.1876,0.1632,0.1672,0.226
11,0.52,0.6304,0.5204,0.5968,0.668,0.6272,0.5384,0.728,0.7356,0.8576,0.7828,0.9736,0.1624,0.11,0.1372,0.274,0.2012,0.128,0.1824,0.2308
12,0.5468,0.5264,0.4992,0.5792,0.6012,0.5808,0.5168,0.6792,0.6504,0.762,0.6844,0.8916,0.9432,0.1444,0.2132,0.2456,0.2504,0.1232,0.1936,0.1828
13,0.508,0.556,0.516,0.5908,0.6432,0.53,0.494,0.6992,0.7028,0.7136,0.6412,0.8616,0.8448,0.99,0.1436,0.2184,0.134,0.1388,0.1696,0.178
14,0.528,0.6224,0.5312,0.6476,0.7184,0.57,0.5064,0.7052,0.6964,0.7824,0.6308,0.8268,0.8076,0.918,0.9808,0.2364,0.1552,0.1168,0.1712,0.2068
15,0.542,0.6148,0.5276,0.6048,0.6544,0.5916,0.4952,0.6732,0.6252,0.778,0.6316,0.8376,0.7872,0.7916,0.8868,0.9816,0.186,0.1284,0.138,0.2196
16,0.5132,0.5932,0.5696,0.6388,0.6696,0.5752,0.566,0.6884,0.63,0.748,0.566,0.814,0.7216,0.7284,0.8424,0.8804,0.958,0.1132,0.1388,0.1992
17,0.534,0.5988,0.5456,0.628,0.6232,0.6504,0.5244,0.7052,0.6192,0.7596,0.5812,0.8148,0.712,0.7164,0.834,0.8432,0.8708,0.998,0.1928,0.22
18,0.5276,0.5004,0.5588,0.5804,0.6364,0.5704,0.5264,0.6416,0.6424,0.72,0.562,0.7656,0.638,0.6664,0.7908,0.7212,0.7836,0.9116,0.9192,0.2228
19,0.528,0.6012,0.5548,0.6252,0.6796,0.5776,0.5284,0.6568,0.6752,0.7392,0.6136,0.7856,0.6848,0.6668,0.7904,0.7736,0.7472,0.902,0.8552,0.9736
20,0.512,0.6112,0.5628,0.6036,0.6488,0.5808,0.5136,0.6404,0.6584,0.7276,0.6036,0.7992,0.6668,0.674,0.7804,0.7772,0.7512,0.8904,0.8696,0.404
21,0.5108,0.5948,0.5588,0.5948,0.6204,0.5616,0.5272,0.6376,0.6804,0.7092,0.6016,0.7824,0.6676,0.68,0.7936,0.7584,0.7252,0.8892,0.2756,0.438
