,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.638,0.654,0.758,0.47,0.682,0.726,0.594,0.704,0.618,0.622,0.688,0.666,0.61,0.776,0.712,0.572,0.594,0.694,0.804,0.816
1,0.692,0.656,0.696,0.59,0.702,0.756,0.64,0.712,0.694,0.782,0.472,0.62,0.596,0.666,0.746,0.628,0.672,0.734,0.718,0.764
2,0.674,0.6,0.62,0.682,0.736,0.572,0.578,0.592,0.74,0.678,0.66,0.676,0.784,0.75,0.638,0.744,0.752,0.66,0.822,0.782
3,0.51,0.76,0.604,0.694,0.656,0.506,0.582,0.72,0.58,0.582,0.672,0.738,0.776,0.774,0.764,0.66,0.684,0.69,0.834,0.87
4,0.588,0.55,0.61,0.662,0.682,0.718,0.764,0.668,0.452,0.654,0.666,0.648,0.56,0.708,0.568,0.668,0.514,0.622,0.6,0.726
5,0.502,0.52,0.42,0.554,0.57,0.546,0.498,0.498,0.614,0.68,0.506,0.512,0.536,0.6,0.516,0.578,0.654,0.53,0.554,0.736
6,0.694,0.71,0.522,0.648,0.61,0.63,0.584,0.728,0.614,0.68,0.608,0.674,0.746,0.638,0.642,0.572,0.696,0.592,0.806,0.68
7,0.534,0.61,0.566,0.636,0.568,0.62,0.604,0.664,0.634,0.724,0.746,0.646,0.77,0.706,0.576,0.674,0.784,0.812,0.698,0.778
8,0.594,0.668,0.676,0.636,0.702,0.482,0.624,0.638,0.624,0.552,0.676,0.724,0.658,0.654,0.726,0.6,0.62,0.662,0.676,0.802
9,0.578,0.67,0.648,0.712,0.566,0.738,0.63,0.506,0.718,0.656,0.64,0.67,0.614,0.678,0.72,0.726,0.736,0.756,0.79,0.884
