,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.578,0.556,0.568,0.578,0.57,0.602,0.592,0.57,0.59,0.554,0.578,0.454,0.392,0.386,0.502,0.382,0.274,0.328,0.322,0.276
1,0.694,0.67,0.654,0.678,0.694,0.672,0.678,0.678,0.674,0.688,0.674,0.574,0.622,0.588,0.56,0.494,0.436,0.414,0.386,0.436
2,0.652,0.67,0.664,0.66,0.654,0.652,0.66,0.638,0.676,0.652,0.672,0.654,0.664,0.672,0.66,0.672,0.674,0.648,0.614,0.408
3,0.536,0.536,0.538,0.54,0.536,0.542,0.532,0.554,0.538,0.536,0.552,0.57,0.572,0.58,0.556,0.546,0.552,0.504,0.38,0.342
4,0.566,0.6,0.566,0.596,0.614,0.614,0.608,0.6,0.612,0.568,0.54,0.518,0.454,0.462,0.524,0.52,0.37,0.418,0.35,0.38
5,0.64,0.644,0.636,0.63,0.63,0.638,0.664,0.654,0.666,0.666,0.66,0.654,0.492,0.442,0.492,0.508,0.448,0.444,0.37,0.314
6,0.644,0.642,0.64,0.648,0.636,0.63,0.6,0.61,0.584,0.568,0.612,0.564,0.552,0.512,0.508,0.47,0.214,0.326,0.254,0.228
7,0.568,0.578,0.55,0.56,0.558,0.566,0.542,0.58,0.568,0.59,0.55,0.518,0.476,0.402,0.432,0.366,0.324,0.35,0.374,0.3
8,0.666,0.66,0.656,0.674,0.67,0.66,0.694,0.67,0.624,0.616,0.552,0.47,0.466,0.476,0.502,0.386,0.386,0.482,0.388,0.26
9,0.576,0.576,0.586,0.596,0.61,0.602,0.584,0.572,0.63,0.62,0.602,0.566,0.546,0.51,0.42,0.474,0.412,0.424,0.218,0.286
