,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.486,0.394,0.27,0.306,0.31,0.206,0.284,0.196,0.182,0.262,0.292,0.252,0.268,0.394,0.262,0.232,0.324,0.254,0.276,0.296
1,0.506,0.146,0.142,0.198,0.2,0.126,0.122,0.196,0.278,0.306,0.204,0.25,0.306,0.204,0.18,0.168,0.294,0.204,0.234,0.286
2,0.48,0.234,0.178,0.15,0.144,0.128,0.19,0.228,0.252,0.25,0.274,0.254,0.18,0.312,0.218,0.27,0.158,0.318,0.204,0.216
3,0.386,0.284,0.252,0.288,0.296,0.344,0.39,0.366,0.36,0.4,0.288,0.362,0.458,0.238,0.28,0.318,0.202,0.362,0.348,0.434
4,0.304,0.188,0.26,0.112,0.12,0.188,0.174,0.186,0.142,0.174,0.23,0.232,0.182,0.166,0.188,0.068,0.126,0.278,0.252,0.192
5,0.59,0.248,0.37,0.384,0.434,0.35,0.192,0.438,0.424,0.42,0.368,0.536,0.45,0.382,0.254,0.376,0.398,0.478,0.348,0.454
6,0.5,0.256,0.224,0.17,0.098,0.128,0.092,0.184,0.184,0.168,0.172,0.11,0.224,0.1,0.112,0.154,0.148,0.234,0.084,0.078
7,0.496,0.204,0.194,0.236,0.176,0.268,0.3,0.212,0.25,0.204,0.176,0.262,0.238,0.244,0.266,0.128,0.256,0.332,0.158,0.214
8,0.51,0.232,0.222,0.204,0.162,0.178,0.214,0.194,0.16,0.25,0.216,0.186,0.326,0.242,0.242,0.306,0.204,0.208,0.23,0.278
9,0.412,0.268,0.216,0.208,0.194,0.226,0.288,0.154,0.156,0.19,0.226,0.216,0.184,0.294,0.244,0.26,0.284,0.212,0.324,0.292
