,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7856,0.7796,0.7404,0.7744,0.7724,0.7792,0.782,0.7596,0.7932,0.6764,0.7384,0.6248,0.6676,0.6692,0.548,0.5876,0.5696,0.6496,0.454,0.3724
1,0.6608,0.6564,0.6504,0.668,0.6356,0.5756,0.6068,0.6096,0.5916,0.5248,0.604,0.5272,0.4908,0.5016,0.5108,0.406,0.5172,0.3968,0.3828,0.4628
2,0.7104,0.7116,0.6944,0.7128,0.7076,0.714,0.6892,0.7,0.6968,0.672,0.658,0.6004,0.4948,0.5124,0.4844,0.4552,0.3988,0.4744,0.4312,0.4036
3,0.7244,0.7172,0.6972,0.7128,0.6876,0.6532,0.7204,0.6832,0.6772,0.6392,0.5644,0.5216,0.6224,0.6288,0.5668,0.4868,0.576,0.5308,0.48,0.4924
4,0.7696,0.7532,0.7556,0.7552,0.746,0.752,0.7716,0.7636,0.658,0.606,0.5736,0.5776,0.5808,0.6324,0.5704,0.5836,0.5516,0.612,0.4576,0.5124
5,0.758,0.7588,0.7412,0.728,0.7588,0.7528,0.7424,0.7744,0.6876,0.7304,0.656,0.6076,0.6436,0.7048,0.6728,0.5768,0.6032,0.5828,0.5468,0.4992
6,0.5628,0.5724,0.5744,0.5764,0.5852,0.5748,0.5784,0.582,0.5868,0.5916,0.5948,0.582,0.5752,0.5752,0.544,0.5544,0.5132,0.3572,0.4284,0.406
7,0.6944,0.6892,0.6848,0.6896,0.6788,0.686,0.7,0.7088,0.6836,0.674,0.692,0.6912,0.6964,0.7176,0.6748,0.7032,0.7196,0.658,0.6248,0.6732
8,0.5984,0.59,0.604,0.5892,0.576,0.5904,0.584,0.6,0.61,0.5632,0.5808,0.5424,0.4244,0.51,0.5372,0.5072,0.4368,0.3892,0.3252,0.4164
9,0.7844,0.7752,0.7808,0.7784,0.7764,0.7568,0.6904,0.7728,0.7344,0.69,0.7308,0.708,0.6904,0.63,0.6324,0.494,0.6692,0.4888,0.6328,0.5864
