,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.534,0.628,0.728,0.666,0.63,0.618,0.796,0.702,0.612,0.65,0.65,0.746,0.732,0.812,0.69,0.81,0.662,0.718,0.782,0.802
1,0.53,0.604,0.72,0.628,0.602,0.648,0.766,0.686,0.64,0.656,0.642,0.764,0.75,0.826,0.686,0.788,0.71,0.754,0.828,0.184
2,0.54,0.614,0.722,0.632,0.592,0.63,0.736,0.708,0.666,0.666,0.67,0.75,0.746,0.808,0.692,0.808,0.738,0.798,0.212,0.204
3,0.532,0.604,0.754,0.624,0.602,0.63,0.754,0.708,0.616,0.666,0.634,0.776,0.752,0.75,0.732,0.814,0.752,0.232,0.154,0.174
4,0.532,0.61,0.774,0.668,0.598,0.652,0.79,0.714,0.634,0.656,0.656,0.78,0.762,0.824,0.782,0.864,0.324,0.262,0.184,0.226
5,0.534,0.542,0.756,0.666,0.58,0.636,0.766,0.682,0.6,0.672,0.666,0.744,0.756,0.836,0.796,0.186,0.262,0.254,0.188,0.214
6,0.54,0.574,0.732,0.662,0.582,0.608,0.756,0.708,0.608,0.66,0.662,0.75,0.748,0.814,0.22,0.23,0.276,0.232,0.226,0.206
7,0.548,0.528,0.708,0.636,0.614,0.632,0.752,0.718,0.648,0.7,0.686,0.756,0.784,0.126,0.256,0.202,0.28,0.238,0.184,0.192
8,0.494,0.634,0.744,0.63,0.58,0.634,0.802,0.718,0.612,0.698,0.736,0.82,0.094,0.16,0.24,0.15,0.284,0.224,0.162,0.204
9,0.486,0.6,0.724,0.596,0.574,0.632,0.794,0.676,0.618,0.706,0.748,0.268,0.126,0.16,0.21,0.184,0.264,0.256,0.158,0.184
10,0.504,0.598,0.702,0.566,0.618,0.618,0.776,0.702,0.636,0.76,0.128,0.262,0.108,0.148,0.216,0.146,0.254,0.228,0.154,0.194
11,0.432,0.63,0.724,0.596,0.58,0.552,0.804,0.688,0.656,0.192,0.178,0.212,0.152,0.126,0.204,0.23,0.27,0.238,0.154,0.208
12,0.502,0.64,0.73,0.622,0.576,0.642,0.798,0.73,0.152,0.176,0.16,0.168,0.136,0.204,0.2,0.2,0.314,0.22,0.164,0.218
13,0.46,0.672,0.742,0.616,0.638,0.626,0.832,0.186,0.166,0.204,0.196,0.218,0.096,0.188,0.198,0.196,0.312,0.246,0.18,0.192
14,0.458,0.658,0.71,0.57,0.654,0.652,0.198,0.196,0.202,0.162,0.168,0.218,0.132,0.214,0.224,0.136,0.268,0.222,0.168,0.174
15,0.464,0.53,0.73,0.636,0.666,0.25,0.194,0.176,0.202,0.204,0.206,0.252,0.174,0.162,0.206,0.258,0.22,0.18,0.16,0.192
16,0.48,0.608,0.79,0.708,0.188,0.256,0.2,0.206,0.192,0.212,0.228,0.218,0.132,0.184,0.222,0.232,0.266,0.226,0.166,0.184
17,0.422,0.618,0.764,0.154,0.196,0.202,0.204,0.21,0.194,0.174,0.248,0.192,0.198,0.216,0.232,0.226,0.268,0.22,0.124,0.196
18,0.458,0.756,0.206,0.198,0.208,0.236,0.2,0.194,0.186,0.18,0.12,0.168,0.236,0.214,0.2,0.2,0.236,0.236,0.168,0.222
19,0.456,0.202,0.226,0.186,0.162,0.204,0.222,0.21,0.196,0.186,0.15,0.208,0.222,0.216,0.196,0.2,0.202,0.204,0.152,0.194
20,0.624,0.62,0.772,0.542,0.632,0.62,0.778,0.572,0.608,0.576,0.588,0.64,0.716,0.674,0.596,0.77,0.662,0.654,0.776,0.77
21,0.624,0.614,0.776,0.57,0.658,0.626,0.774,0.562,0.62,0.618,0.572,0.62,0.764,0.71,0.642,0.766,0.678,0.71,0.78,0.12
22,0.582,0.602,0.746,0.556,0.632,0.666,0.746,0.546,0.616,0.582,0.578,0.588,0.72,0.714,0.616,0.754,0.684,0.722,0.134,0.13
23,0.616,0.652,0.778,0.556,0.672,0.68,0.76,0.59,0.612,0.628,0.6,0.616,0.752,0.722,0.666,0.782,0.762,0.192,0.124,0.14
24,0.604,0.634,0.762,0.562,0.626,0.624,0.774,0.57,0.614,0.588,0.568,0.596,0.752,0.738,0.66,0.832,0.206,0.198,0.138,0.154
25,0.57,0.58,0.758,0.514,0.632,0.606,0.746,0.528,0.61,0.54,0.572,0.616,0.71,0.758,0.6,0.206,0.234,0.19,0.182,0.166
26,0.626,0.648,0.774,0.498,0.652,0.662,0.742,0.582,0.664,0.588,0.61,0.628,0.75,0.794,0.232,0.204,0.254,0.188,0.116,0.148
27,0.588,0.65,0.756,0.544,0.654,0.656,0.706,0.538,0.672,0.564,0.608,0.662,0.808,0.214,0.23,0.212,0.24,0.188,0.1,0.186
28,0.588,0.618,0.728,0.542,0.698,0.65,0.724,0.564,0.698,0.604,0.612,0.68,0.19,0.208,0.214,0.226,0.264,0.192,0.09,0.2
29,0.636,0.64,0.744,0.524,0.662,0.636,0.726,0.612,0.698,0.664,0.64,0.196,0.206,0.206,0.224,0.206,0.258,0.202,0.064,0.186
30,0.616,0.614,0.734,0.506,0.638,0.638,0.77,0.562,0.68,0.73,0.194,0.222,0.21,0.228,0.23,0.244,0.264,0.198,0.138,0.198
31,0.606,0.624,0.784,0.556,0.672,0.628,0.786,0.596,0.73,0.324,0.212,0.194,0.194,0.226,0.238,0.236,0.204,0.208,0.124,0.194
32,0.6,0.618,0.794,0.56,0.676,0.654,0.762,0.606,0.29,0.34,0.202,0.208,0.188,0.214,0.254,0.244,0.238,0.188,0.114,0.164
33,0.63,0.644,0.814,0.572,0.65,0.67,0.812,0.172,0.288,0.282,0.186,0.218,0.206,0.2,0.196,0.246,0.264,0.188,0.084,0.2
34,0.588,0.668,0.782,0.54,0.69,0.646,0.222,0.198,0.336,0.328,0.188,0.256,0.2,0.212,0.254,0.174,0.25,0.184,0.086,0.214
35,0.59,0.62,0.762,0.618,0.722,0.174,0.18,0.216,0.318,0.36,0.17,0.21,0.212,0.206,0.22,0.25,0.262,0.198,0.098,0.18
36,0.608,0.664,0.796,0.672,0.25,0.27,0.16,0.176,0.312,0.284,0.178,0.228,0.198,0.212,0.242,0.196,0.25,0.202,0.1,0.182
37,0.57,0.66,0.73,0.214,0.254,0.196,0.136,0.166,0.248,0.34,0.174,0.228,0.23,0.202,0.188,0.236,0.28,0.198,0.112,0.188
38,0.568,0.59,0.218,0.192,0.218,0.198,0.11,0.256,0.338,0.238,0.182,0.226,0.22,0.198,0.17,0.272,0.216,0.202,0.158,0.186
39,0.66,0.16,0.226,0.23,0.164,0.196,0.242,0.23,0.212,0.292,0.188,0.192,0.2,0.2,0.166,0.21,0.246,0.2,0.122,0.186
40,0.634,0.602,0.656,0.678,0.732,0.632,0.604,0.674,0.78,0.768,0.734,0.702,0.68,0.6,0.782,0.716,0.81,0.728,0.736,0.774
41,0.638,0.58,0.634,0.628,0.732,0.648,0.594,0.62,0.746,0.722,0.698,0.724,0.684,0.6,0.808,0.704,0.792,0.75,0.756,0.192
42,0.606,0.602,0.642,0.652,0.69,0.626,0.63,0.682,0.746,0.758,0.712,0.748,0.702,0.612,0.81,0.754,0.818,0.782,0.214,0.272
43,0.59,0.564,0.658,0.638,0.672,0.642,0.606,0.682,0.736,0.724,0.714,0.726,0.686,0.642,0.816,0.744,0.816,0.138,0.194,0.242
44,0.58,0.544,0.62,0.616,0.658,0.626,0.594,0.622,0.682,0.694,0.718,0.704,0.658,0.604,0.788,0.702,0.232,0.2,0.174,0.232
45,0.608,0.604,0.63,0.618,0.694,0.658,0.624,0.668,0.742,0.734,0.714,0.73,0.708,0.676,0.852,0.168,0.196,0.152,0.226,0.236
46,0.592,0.57,0.616,0.616,0.65,0.662,0.606,0.662,0.73,0.726,0.706,0.704,0.704,0.718,0.294,0.21,0.218,0.148,0.206,0.226
47,0.612,0.526,0.594,0.656,0.66,0.616,0.626,0.692,0.728,0.744,0.712,0.764,0.728,0.272,0.25,0.22,0.218,0.14,0.21,0.224
48,0.628,0.56,0.612,0.642,0.716,0.656,0.63,0.7,0.732,0.754,0.756,0.814,0.266,0.24,0.244,0.198,0.162,0.122,0.2,0.262
49,0.61,0.504,0.622,0.644,0.694,0.63,0.61,0.646,0.714,0.756,0.754,0.198,0.25,0.22,0.256,0.166,0.162,0.138,0.218,0.19
50,0.624,0.546,0.586,0.668,0.688,0.646,0.602,0.698,0.752,0.786,0.284,0.218,0.284,0.242,0.196,0.188,0.134,0.164,0.2,0.204
51,0.602,0.592,0.602,0.676,0.652,0.686,0.588,0.728,0.814,0.168,0.32,0.244,0.226,0.248,0.296,0.18,0.162,0.206,0.24,0.202
52,0.608,0.574,0.572,0.58,0.638,0.632,0.598,0.704,0.104,0.174,0.312,0.224,0.214,0.21,0.23,0.182,0.232,0.2,0.214,0.214
53,0.528,0.558,0.614,0.608,0.632,0.73,0.602,0.124,0.134,0.186,0.276,0.21,0.234,0.236,0.214,0.206,0.196,0.144,0.222,0.182
54,0.57,0.558,0.608,0.648,0.662,0.752,0.268,0.114,0.122,0.188,0.304,0.22,0.218,0.216,0.204,0.214,0.15,0.17,0.21,0.176
55,0.58,0.476,0.646,0.618,0.69,0.2,0.234,0.134,0.096,0.196,0.3,0.238,0.226,0.274,0.188,0.184,0.232,0.136,0.208,0.2
56,0.59,0.558,0.674,0.716,0.218,0.188,0.232,0.17,0.076,0.196,0.246,0.212,0.192,0.268,0.236,0.166,0.19,0.24,0.146,0.218
57,0.526,0.536,0.7,0.19,0.302,0.198,0.218,0.132,0.098,0.198,0.236,0.236,0.212,0.204,0.224,0.176,0.23,0.248,0.194,0.248
58,0.512,0.554,0.192,0.152,0.24,0.196,0.154,0.17,0.1,0.162,0.244,0.196,0.188,0.226,0.25,0.22,0.18,0.236,0.236,0.244
59,0.528,0.172,0.128,0.202,0.382,0.2,0.18,0.172,0.114,0.198,0.244,0.238,0.188,0.264,0.284,0.23,0.182,0.276,0.202,0.232
