,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.632,0.352,0.48,0.534,0.722,0.472,0.55,0.522,0.53,0.504,0.504,0.448,0.614,0.62,0.372,0.518,0.442,0.514,0.472,0.436
1,0.628,0.364,0.474,0.572,0.736,0.492,0.558,0.522,0.524,0.524,0.514,0.442,0.608,0.642,0.37,0.54,0.478,0.514,0.482,0.406
2,0.674,0.43,0.52,0.61,0.806,0.538,0.618,0.578,0.628,0.58,0.546,0.494,0.644,0.672,0.41,0.648,0.546,0.606,0.484,0.328
3,0.674,0.482,0.496,0.656,0.848,0.52,0.602,0.654,0.63,0.6,0.564,0.574,0.676,0.694,0.416,0.638,0.604,0.63,0.42,0.334
4,0.268,0.23,0.152,0.22,0.204,0.22,0.26,0.24,0.248,0.124,0.146,0.224,0.212,0.16,0.248,0.23,0.226,0.29,0.202,0.25
5,0.276,0.238,0.156,0.24,0.212,0.22,0.29,0.25,0.25,0.138,0.16,0.244,0.214,0.158,0.244,0.282,0.214,0.314,0.202,0.262
6,0.296,0.234,0.168,0.244,0.22,0.216,0.314,0.25,0.268,0.146,0.21,0.248,0.216,0.168,0.238,0.304,0.212,0.324,0.204,0.274
7,0.308,0.264,0.186,0.256,0.242,0.218,0.328,0.26,0.276,0.164,0.226,0.246,0.214,0.194,0.246,0.304,0.206,0.35,0.206,0.278
8,0.314,0.278,0.206,0.264,0.244,0.218,0.35,0.274,0.288,0.192,0.236,0.262,0.212,0.22,0.252,0.322,0.204,0.364,0.206,0.28
9,0.308,0.308,0.22,0.274,0.25,0.202,0.388,0.284,0.298,0.204,0.244,0.252,0.224,0.26,0.26,0.33,0.2,0.372,0.22,0.28
10,0.302,0.308,0.244,0.288,0.272,0.206,0.41,0.302,0.312,0.214,0.244,0.26,0.214,0.274,0.268,0.336,0.214,0.376,0.224,0.282
11,0.3,0.312,0.264,0.28,0.284,0.208,0.418,0.304,0.318,0.22,0.25,0.26,0.214,0.276,0.278,0.334,0.218,0.372,0.226,0.282
12,0.29,0.32,0.274,0.29,0.3,0.208,0.432,0.318,0.334,0.24,0.252,0.264,0.216,0.304,0.27,0.334,0.22,0.386,0.224,0.288
13,0.288,0.324,0.288,0.292,0.306,0.204,0.438,0.334,0.334,0.258,0.266,0.276,0.218,0.326,0.276,0.336,0.216,0.368,0.234,0.294
14,0.28,0.336,0.306,0.3,0.304,0.208,0.45,0.344,0.34,0.272,0.262,0.272,0.214,0.328,0.278,0.34,0.236,0.372,0.234,0.304
15,0.266,0.348,0.304,0.308,0.33,0.216,0.448,0.344,0.346,0.276,0.266,0.274,0.222,0.336,0.27,0.338,0.244,0.368,0.242,0.306
16,0.26,0.352,0.312,0.312,0.332,0.218,0.454,0.35,0.35,0.272,0.268,0.276,0.228,0.348,0.268,0.322,0.246,0.372,0.254,0.31
17,0.264,0.352,0.322,0.318,0.332,0.216,0.454,0.354,0.36,0.28,0.272,0.284,0.232,0.37,0.274,0.32,0.252,0.368,0.26,0.308
18,0.262,0.352,0.324,0.33,0.336,0.22,0.454,0.352,0.36,0.288,0.278,0.28,0.224,0.37,0.274,0.324,0.248,0.362,0.258,0.31
19,0.26,0.348,0.326,0.334,0.336,0.212,0.454,0.36,0.362,0.292,0.274,0.276,0.222,0.38,0.278,0.322,0.244,0.36,0.258,0.31
