,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.674,0.6,0.626,0.556,0.66,0.692,0.612,0.588,0.75,0.654,0.64,0.588,0.714,0.7,0.692,0.73,0.81,0.716,0.708,0.636
1,0.588,0.554,0.432,0.54,0.558,0.586,0.522,0.57,0.63,0.552,0.524,0.544,0.654,0.634,0.6,0.656,0.692,0.614,0.558,0.252
2,0.618,0.612,0.552,0.522,0.566,0.594,0.54,0.518,0.646,0.526,0.486,0.492,0.648,0.678,0.62,0.634,0.654,0.626,0.276,0.266
3,0.506,0.544,0.558,0.482,0.534,0.538,0.536,0.466,0.662,0.492,0.424,0.54,0.632,0.692,0.6,0.624,0.664,0.282,0.27,0.204
4,0.47,0.488,0.49,0.354,0.488,0.52,0.486,0.464,0.542,0.494,0.386,0.476,0.512,0.588,0.508,0.546,0.184,0.318,0.158,0.208
5,0.506,0.48,0.484,0.448,0.44,0.558,0.466,0.472,0.632,0.512,0.436,0.458,0.562,0.572,0.616,0.262,0.324,0.34,0.294,0.208
6,0.412,0.524,0.564,0.426,0.478,0.452,0.462,0.442,0.556,0.534,0.454,0.498,0.456,0.434,0.22,0.378,0.24,0.33,0.234,0.216
7,0.348,0.374,0.46,0.372,0.418,0.362,0.318,0.376,0.502,0.476,0.424,0.314,0.426,0.062,0.14,0.408,0.212,0.336,0.252,0.208
8,0.49,0.478,0.48,0.45,0.548,0.434,0.45,0.384,0.566,0.494,0.466,0.46,0.15,0.28,0.26,0.426,0.26,0.33,0.228,0.22
9,0.512,0.534,0.5,0.432,0.54,0.404,0.404,0.506,0.62,0.416,0.434,0.2,0.152,0.222,0.236,0.298,0.334,0.382,0.226,0.218
10,0.518,0.5,0.514,0.51,0.566,0.456,0.44,0.526,0.678,0.414,0.244,0.266,0.27,0.352,0.342,0.316,0.402,0.344,0.278,0.264
11,0.418,0.408,0.384,0.444,0.47,0.35,0.434,0.48,0.508,0.2,0.232,0.222,0.322,0.296,0.368,0.302,0.314,0.254,0.292,0.262
12,0.44,0.546,0.442,0.416,0.476,0.39,0.412,0.5,0.162,0.228,0.248,0.238,0.24,0.28,0.232,0.278,0.304,0.354,0.232,0.25
13,0.438,0.536,0.508,0.458,0.462,0.514,0.426,0.202,0.192,0.246,0.254,0.242,0.286,0.212,0.168,0.294,0.354,0.21,0.21,0.24
14,0.45,0.496,0.536,0.318,0.366,0.476,0.166,0.186,0.226,0.222,0.184,0.234,0.298,0.288,0.2,0.178,0.316,0.182,0.29,0.222
15,0.54,0.554,0.488,0.362,0.374,0.224,0.142,0.168,0.26,0.168,0.188,0.186,0.314,0.332,0.186,0.204,0.298,0.208,0.296,0.218
16,0.476,0.476,0.456,0.4,0.166,0.146,0.152,0.218,0.208,0.156,0.19,0.17,0.292,0.254,0.212,0.242,0.168,0.184,0.228,0.2
17,0.352,0.476,0.42,0.178,0.162,0.174,0.236,0.226,0.166,0.198,0.21,0.156,0.206,0.172,0.092,0.188,0.152,0.216,0.148,0.204
18,0.428,0.446,0.18,0.142,0.162,0.196,0.256,0.21,0.172,0.234,0.248,0.164,0.176,0.2,0.1,0.166,0.284,0.232,0.16,0.2
19,0.434,0.24,0.174,0.12,0.218,0.23,0.308,0.198,0.204,0.248,0.216,0.186,0.146,0.194,0.136,0.204,0.312,0.202,0.176,0.2
